cell,pair,B_paper_grid41,B_grid401,rel_pct,t_star_41,t_star_401
sp_gelu_w4096,03,1.092786e-01,1.092801e-01,0.0014,0.50000,0.49750
sp_gelu_w4096,04,1.221989e-01,1.221989e-01,0.0000,0.50000,0.50000
sp_gelu_w512,01,1.004869e-02,1.004869e-02,0.0000,0.50000,0.50000
sp_gelu_w512,02,8.791888e-03,8.796074e-03,0.0476,0.50000,0.50500
sp_gelu_w512,03,1.038655e-02,1.042569e-02,0.3768,0.50000,0.51250
sp_gelu_w512,04,1.078331e-02,1.078861e-02,0.0492,0.50000,0.49500
sp_gelu_w64,01,6.509317e-02,6.517406e-02,0.1243,0.47500,0.48250
sp_gelu_w64,02,9.159764e-02,9.173998e-02,0.1554,0.50000,0.51000
sp_gelu_w64,03,7.540632e-02,7.540632e-02,0.0000,0.50000,0.50000
sp_gelu_w64,04,5.232245e-02,5.238364e-02,0.1169,0.50000,0.49250
sp_tanh_w1024,01,4.210020e-02,4.210771e-02,0.0178,0.50000,0.50250
sp_tanh_w1024,02,4.373473e-02,4.381806e-02,0.1905,0.50000,0.49250
sp_tanh_w1024,03,3.142863e-02,3.142863e-02,0.0000,0.50000,0.50000
sp_tanh_w1024,04,3.581194e-02,3.592038e-02,0.3028,0.50000,0.49000
sp_tanh_w128,01,6.619210e-02,6.622558e-02,0.0506,0.50000,0.49500
sp_tanh_w128,02,6.318897e-02,6.319224e-02,0.0052,0.50000,0.49750
sp_tanh_w128,03,5.107525e-02,5.113960e-02,0.1260,0.50000,0.49250
sp_tanh_w128,04,5.779615e-02,5.789783e-02,0.1759,0.50000,0.49000
sp_tanh_w2048,01,3.954591e-02,3.955378e-02,0.0199,0.50000,0.49750
sp_tanh_w2048,02,3.655404e-02,3.658895e-02,0.0955,0.50000,0.49500
sp_tanh_w2048,03,5.958467e-02,5.964966e-02,0.1091,0.50000,0.49500
sp_tanh_w2048,04,4.321044e-02,4.324482e-02,0.0795,0.50000,0.50500
sp_tanh_w256,01,2.986851e-02,2.987836e-02,0.0330,0.50000,0.50500
sp_tanh_w256,02,3.812551e-02,3.812551e-02,0.0000,0.50000,0.50000
sp_tanh_w256,03,2.957419e-02,2.958825e-02,0.0475,0.50000,0.49500
sp_tanh_w256,04,2.898572e-02,2.898572e-02,0.0000,0.50000,0.50000
sp_tanh_w4096,01,2.589411e-02,2.599322e-02,0.3827,0.52500,0.51500
sp_tanh_w4096,02,2.500048e-02,2.500048e-02,0.0000,0.50000,0.50000
sp_tanh_w4096,03,1.945116e-02,1.947739e-02,0.1349,0.50000,0.49500
sp_tanh_w4096,04,2.745315e-02,2.745315e-02,0.0000,0.50000,0.50000
sp_tanh_w512,01,2.797468e-02,2.797468e-02,0.0000,0.50000,0.50000
sp_tanh_w512,02,3.673879e-02,3.687141e-02,0.3610,0.50000,0.48750
sp_tanh_w512,03,2.678150e-02,2.679784e-02,0.0610,0.50000,0.49500
sp_tanh_w512,04,2.962858e-02,2.964874e-02,0.0680,0.50000,0.49500
sp_tanh_w64,01,1.942490e-01,1.943835e-01,0.0692,0.50000,0.50500
sp_tanh_w64,02,1.593872e-01,1.597560e-01,0.2314,0.47500,0.48500
sp_tanh_w64,03,1.245940e-01,1.246094e-01,0.0124,0.50000,0.49750
sp_tanh_w64,04,1.932612e-01,1.936414e-01,0.1967,0.50000,0.51000
