mode,regime,act,width,smooth,n_pairs,nparams,dnorm_med,rq_A_med,rq_mid_med,rq_B_med,flen_mid_med,lmax_A_med,lmax_mid_med,lmax_B_med,trP_A_med,trP_mid_med,trP_B_med,align_A_med,align_mid_med,align_B_med,spec_mid_med,ov1_mid_med,top1_mid_med,pow_gap_mid_med,rq_tmax_med,rq_tmin_med,t_at_rqmax_med,align_mid_rat,spec_mid_rat,alpha_rq,alpha_rq_r2,alpha_flen,alpha_flen_r2,alpha_dnorm,alpha_dnorm_r2,alpha_trP,alpha_trP_r2,alpha_lmax,alpha_lmax_r2,alpha_align,alpha_align_r2,alpha_spec,alpha_spec_r2,resid_flen,resid_rq
mlp,mup,tanh,4096,1,10,20037642,211.125218,1.6105399999999998e-07,1.9006204999999999e-06,1.5036905e-07,0.04225136,0.003646499,0.10434199999999999,0.003606644,4.7569485e-09,7.7076595e-08,4.907734e-09,33.796994999999995,23.905925,30.959085,1.703691e-05,7.442973e-07,0.042758865,0.00012550000000000001,6.2958605000000004e-06,1.5029180000000002e-07,0.5,24.65885396208797,1.821529681240536e-05,1.8752,0.9863,0.9139,0.9199,-0.4817,0.997,2.4247,0.9988,0.8934,0.9428,-0.5496,0.9208,0.9818,0.9924,0.0021,0.0001
mlp,ntk,relu,4096,0,10,20037642,6128.0047315,1.8319139999999998e-07,9.9912935e-09,1.8217905e-07,0.1875634,0.1068222,0.2840904,0.1065135,4.145175e-08,7.9266775e-08,4.3239415000000004e-08,4.296082,0.1247112,4.296886000000001,3.6388959999999996e-08,1.12432465e-09,0.029047645,1.0650000000000001e-07,4.8910945e-07,9.9912935e-09,0.75,0.12604642361191054,3.5169416143593726e-08,,,,,,,,,,,,,,,,
mlp,ntk,softplus,64,1,10,55050,321.362118,5.5202695e-05,4.9082625e-06,6.527033e-05,0.25212005000000004,0.6755785,1.7326655,0.6791026,8.681597e-05,0.0001520999,9.386949e-05,0.66987395,0.03636067,0.6614065499999999,2.895564e-06,1.02130205e-07,0.04002888,1.6650000000000002e-07,0.00010635635000000001,4.9082625e-06,0.5625,0.03226999163050074,2.832781341811215e-06,1.8002,0.9825,0.3856,0.9255,-0.7067,0.991,1.7605,0.9961,0.3705,0.9753,0.0397,0.0792,1.4297,0.9695,0.0012,0.0
mlp,ntk,softplus,128,1,10,118282,465.476832,2.8514065000000003e-05,2.4877005e-06,2.4527175000000003e-05,0.2688568,0.5555047,1.2519520000000002,0.5477355500000001,2.996077e-05,5.2351105e-05,3.16252e-05,0.96542425,0.05040876,0.83411605,1.8901135000000002e-06,6.969785e-09,0.0053954195,8.24e-06,4.751572e-05,2.4877005e-06,0.75,0.0475195413735775,1.987057411146753e-06,1.8002,0.9825,0.3856,0.9255,-0.7067,0.991,1.7605,0.9961,0.3705,0.9753,0.0397,0.0792,1.4297,0.9695,0.0012,0.0
mlp,ntk,softplus,256,1,10,269322,698.1981505,1.329782e-05,8.276239e-07,1.305457e-05,0.20154145,0.4349522,1.2409265,0.43688165,9.655173e-06,1.831557e-05,1.0615270000000001e-05,1.2525495,0.046690425,1.2761215,6.474996e-07,5.133774e-09,0.0065249855,1.3215e-07,2.628712e-05,8.276239e-07,0.75,0.045186903820083134,6.669403062953366e-07,1.8002,0.9825,0.3856,0.9255,-0.7067,0.991,1.7605,0.9961,0.3705,0.9753,0.0397,0.0792,1.4297,0.9695,0.0012,0.0
mlp,ntk,softplus,512,1,10,669706,1098.7037775,5.2676985e-06,2.9425765e-07,4.8443934999999994e-06,0.17748205,0.33121520000000004,0.75480835,0.3344255,3.1306115e-06,5.793787e-06,3.2503610000000002e-06,1.6840674999999998,0.048845324999999995,1.415836,3.9976955e-07,2.1475214999999998e-08,0.06867044,9.82e-07,9.031339e-06,2.9425765e-07,0.25,0.05078848255898948,3.8984419025041254e-07,1.8002,0.9825,0.3856,0.9255,-0.7067,0.991,1.7605,0.9961,0.3705,0.9753,0.0397,0.0792,1.4297,0.9695,0.0012,0.0
mlp,ntk,softplus,1024,1,10,1863690,1838.8897425,2.279298e-06,7.278794e-08,2.255578e-06,0.12311929999999999,0.2542451,0.6104969499999999,0.25253044999999996,9.114233e-07,1.6185225000000001e-06,8.701828e-07,2.4171560000000003,0.043841464999999996,2.565524,1.107213e-07,5.2454265e-09,0.047750065,2.035e-07,3.9312805e-06,7.278794e-08,0.5625,0.044971843147067765,1.192273605953314e-07,1.8002,0.9825,0.3856,0.9255,-0.7067,0.991,1.7605,0.9961,0.3705,0.9753,0.0397,0.0792,1.4297,0.9695,0.0012,0.0
mlp,ntk,softplus,2048,1,10,5824522,3275.631999,8.129925999999999e-07,1.543217e-08,8.1831285e-07,0.082830715,0.2062514,0.45425465,0.2039238,2.139981e-07,4.0427920000000003e-07,2.503484e-07,3.7434635,0.036301895,3.286034,3.4710210000000005e-08,5.212457e-10,0.0163751255,3.935e-07,1.3700960000000001e-06,1.543217e-08,0.5,0.03817206029892213,3.397250859182179e-08,1.8002,0.9825,0.3856,0.9255,-0.7067,0.991,1.7605,0.9961,0.3705,0.9753,0.0397,0.0792,1.4297,0.9695,0.0012,0.0
mlp,ntk,softplus,4096,1,10,20037642,6128.9599419999995,2.8123280000000003e-07,2.8609034999999998e-09,2.7754845e-07,0.053751364999999995,0.1886861,0.39260364999999997,0.18968665,6.029555e-08,9.890167500000001e-08,5.94515e-08,4.715888,0.029095919999999997,4.589513999999999,7.0375735e-09,3.514235e-10,0.052851605,7.82e-07,4.317715e-07,2.8609034999999998e-09,0.125,0.028926744668378968,7.287001789209041e-09,1.8002,0.9825,0.3856,0.9255,-0.7067,0.991,1.7605,0.9961,0.3705,0.9753,0.0397,0.0792,1.4297,0.9695,0.0012,0.0
mlp,ntk,tanh,4096,1,10,20037642,6127.553179500001,1.0718965e-07,5.8472475e-09,1.105653e-07,0.10979285,0.09361939999999999,0.2228344,0.09462957,3.7988754999999995e-08,7.744827500000001e-08,3.925733e-08,2.8483495,0.07636687,2.7748030000000004,2.6304190000000003e-08,4.400041e-10,0.01722962,9.84e-05,3.112206e-07,5.8472475e-09,0.25,0.07549874416182928,2.624032689746287e-08,,,,,,,,,,,,,,,,
