mode,regime,act,width,smooth,seed,nparams,lmax,pow_gap,trP,trP_sem,probes,acc,status
mlp,ntk,softplus,512,1,3,669706,3.025084e-01,1.67e-04,2.864596e-06,2.054e-07,24,0.9033,ok
mlp,ntk,softplus,512,1,4,669706,3.475792e-01,5.33e-04,3.721831e-06,3.954e-07,24,0.9058,ok
mlp,sp,gelu,512,1,0,669706,4.623128e-02,1.85e-06,1.072810e-06,3.023e-08,24,0.9861,ok
mlp,sp,gelu,512,1,1,669706,4.621107e-02,9.67e-07,1.128070e-06,4.822e-08,24,0.9863,ok
mlp,sp,gelu,512,1,2,669706,4.627361e-02,2.46e-04,1.040652e-06,4.409e-08,24,0.986,ok
mlp,sp,gelu,512,1,3,669706,3.707144e-02,2.22e-03,1.013991e-06,3.596e-08,24,0.9851,ok
mlp,sp,gelu,512,1,4,669706,5.277696e-02,9.21e-04,1.303842e-06,6.756e-08,24,0.9852,ok
mlp,sp,swish,512,1,0,669706,5.423363e-02,2.60e-05,1.387738e-06,5.602e-08,24,0.9848,ok
mlp,sp,swish,512,1,1,669706,5.232785e-02,4.98e-06,1.510493e-06,7.076e-08,24,0.986,ok
mlp,sp,swish,512,1,2,669706,4.119008e-02,2.45e-04,1.260082e-06,5.975e-08,24,0.9866,ok
mlp,sp,swish,512,1,3,669706,6.162561e-02,3.92e-05,1.470543e-06,7.726e-08,24,0.9855,ok
mlp,sp,swish,512,1,4,669706,6.393924e-02,6.99e-07,1.486902e-06,6.351e-08,24,0.9853,ok
mlp,mup,relu,512,0,0,669706,2.002906e-02,8.25e-04,4.269456e-07,2.448e-08,24,0.9863,ok
mlp,mup,relu,512,0,1,669706,1.887109e-02,2.47e-06,2.594686e-07,1.587e-08,24,0.986,ok
mlp,mup,relu,512,0,2,669706,2.408272e-02,2.32e-07,3.138954e-07,1.631e-08,24,0.9867,ok
mlp,mup,relu,512,0,3,669706,3.147010e-02,0.00e+00,3.826044e-07,2.240e-08,24,0.9868,ok
mlp,mup,relu,512,0,4,669706,2.909579e-02,2.37e-06,3.576098e-07,2.131e-08,24,0.9871,ok
mlp,mup,tanh,512,1,0,669706,1.025755e-02,2.79e-05,5.661245e-07,1.137e-08,24,0.9835,ok
mlp,mup,tanh,512,1,1,669706,1.159500e-02,8.51e-06,5.560382e-07,1.499e-08,24,0.9836,ok
mlp,mup,tanh,512,1,2,669706,1.111161e-02,6.19e-05,6.044412e-07,1.388e-08,24,0.9849,ok
mlp,mup,tanh,512,1,3,669706,1.094545e-02,1.58e-03,5.540260e-07,1.066e-08,24,0.9834,ok
mlp,mup,tanh,512,1,4,669706,1.204479e-02,2.32e-06,6.005058e-07,1.332e-08,24,0.983,ok
mlp,mup,softplus,512,1,0,669706,2.469217e-02,1.29e-05,3.862005e-07,2.314e-08,24,0.9855,ok
mlp,mup,softplus,512,1,1,669706,2.785350e-02,2.67e-06,4.893144e-07,2.854e-08,24,0.9863,ok
mlp,mup,softplus,512,1,2,669706,3.588352e-02,4.59e-04,4.720126e-07,3.080e-08,24,0.9862,ok
mlp,mup,softplus,512,1,3,669706,2.816044e-02,2.05e-06,3.960055e-07,2.287e-08,24,0.9858,ok
mlp,mup,softplus,512,1,4,669706,2.631469e-02,1.26e-03,5.103379e-07,3.049e-08,24,0.9855,ok
mlp,ntk,softplus,256,1,0,269322,4.319623e-01,2.22e-03,9.655173e-06,7.136e-07,24,0.9098,ok
mlp,ntk,softplus,256,1,1,269322,4.349522e-01,2.24e-03,1.066682e-05,1.084e-06,24,0.9089,ok
mlp,ntk,softplus,256,1,2,269322,4.491913e-01,9.76e-04,9.187271e-06,7.293e-07,24,0.9101,ok
mlp,ntk,softplus,256,1,3,269322,4.388111e-01,3.65e-05,1.056372e-05,9.349e-07,24,0.9075,ok
mlp,ntk,softplus,256,1,4,269322,4.183608e-01,2.35e-03,1.124218e-05,1.172e-06,24,0.9079,ok
mlp,sp,gelu,256,1,0,269322,5.444118e-02,6.77e-06,3.278856e-06,1.481e-07,24,0.9842,ok
mlp,sp,gelu,256,1,1,269322,3.476199e-02,7.92e-04,2.660991e-06,7.756e-08,24,0.9866,ok
mlp,sp,gelu,256,1,2,269322,5.265599e-02,1.41e-05,2.824968e-06,1.092e-07,24,0.9841,ok
mlp,sp,gelu,256,1,3,269322,4.679258e-02,6.37e-07,2.805736e-06,1.145e-07,24,0.9855,ok
mlp,sp,gelu,256,1,4,269322,5.302469e-02,6.69e-05,2.490975e-06,9.924e-08,24,0.9846,ok
mlp,sp,swish,256,1,0,269322,6.075834e-02,1.29e-06,3.235497e-06,1.534e-07,24,0.9846,ok
mlp,sp,swish,256,1,1,269322,5.386300e-02,2.07e-07,3.621381e-06,1.167e-07,24,0.9848,ok
mlp,sp,swish,256,1,2,269322,4.312757e-02,3.82e-05,2.847720e-06,1.175e-07,24,0.9846,ok
mlp,sp,swish,256,1,3,269322,6.220976e-02,1.80e-07,3.083781e-06,1.361e-07,24,0.9848,ok
mlp,sp,swish,256,1,4,269322,4.692564e-02,2.47e-03,3.610105e-06,1.320e-07,24,0.9852,ok
mlp,mup,relu,256,0,0,269322,2.241057e-02,2.74e-06,1.103917e-06,4.518e-08,24,0.9875,ok
mlp,mup,relu,256,0,1,269322,2.450086e-02,2.27e-05,1.046434e-06,5.319e-08,24,0.9861,ok
mlp,mup,relu,256,0,2,269322,2.699608e-02,6.76e-04,1.631639e-06,9.458e-08,24,0.9848,ok
mlp,mup,relu,256,0,3,269322,1.933989e-02,8.22e-05,1.071696e-06,5.781e-08,24,0.9861,ok
mlp,mup,relu,256,0,4,269322,2.614740e-02,1.07e-06,1.085167e-06,6.019e-08,24,0.9844,ok
mlp,mup,tanh,256,1,0,269322,2.537079e-02,8.16e-03,3.071661e-06,8.920e-08,24,0.9833,ok
mlp,mup,tanh,256,1,1,269322,2.109638e-02,1.36e-05,2.601404e-06,5.854e-08,24,0.9827,ok
mlp,mup,tanh,256,1,2,269322,2.049016e-02,1.77e-03,2.536803e-06,5.925e-08,24,0.9831,ok
mlp,mup,tanh,256,1,3,269322,2.713958e-02,1.72e-06,3.104215e-06,8.382e-08,24,0.982,ok
mlp,mup,tanh,256,1,4,269322,2.250338e-02,1.77e-03,2.678523e-06,5.285e-08,24,0.983,ok
mlp,mup,softplus,256,1,0,269322,4.023702e-02,1.20e-06,1.403638e-06,7.255e-08,24,0.9855,ok
mlp,mup,softplus,256,1,1,269322,3.389391e-02,6.62e-05,1.742600e-06,1.081e-07,24,0.9856,ok
mlp,mup,softplus,256,1,2,269322,3.490797e-02,1.74e-03,1.578961e-06,8.050e-08,24,0.9854,ok
mlp,mup,softplus,256,1,3,269322,3.368465e-02,1.09e-03,1.571101e-06,7.482e-08,24,0.9857,ok
