kind,mode,regime,act,width,smooth,seedA,seedB,nparams,dnorm,rq_A,rq_mid,rq_B,flen_A,flen_mid,flen_B,lmax_A,lmax_mid,lmax_B,trP_A,trP_mid,trP_B,trP_sem_A,trP_sem_mid,trP_sem_B,align_A,align_mid,align_B,spec_A,spec_mid,spec_B,ov1_A,ov1_mid,ov1_B,top1_A,top1_mid,top1_B,pow_gap_mid,rq_tmax,t_at_rqmax,rq_tmin,batch,micro,probes,power_iters,accA,accB,status
rq,mlp,ntk,softplus,4096,1,0,1,20037642,6126.861513,2.717949e-07,2.677694e-09,2.564974e-07,5.101378e+00,5.025822e-02,4.814254e+00,1.838078e-01,3.410687e-01,1.886861e-01,5.613906e-08,1.181720e-07,6.287863e-08,4.472e-09,1.151e-08,6.232e-09,4.841459e+00,2.265929e-02,4.079245e+00,1.478691e-06,7.850894e-09,1.359387e-06,3.686411e-10,1.843036e-10,1.070391e-09,2.493024e-04,2.347549e-02,7.874070e-04,1.31e-06,4.115849e-07,0.1250,2.677694e-09,2048,2048,24,24,0.8897,0.8898,ok
rq,mlp,ntk,softplus,4096,1,0,2,20037642,6131.623602,2.639831e-07,3.564991e-09,2.791363e-07,4.962461e+00,6.701613e-02,5.247317e+00,1.838078e-01,3.556301e-01,1.924347e-01,5.613906e-08,9.693036e-08,6.344275e-08,4.472e-09,9.531e-09,6.686e-09,4.702307e+00,3.677888e-02,4.399814e+00,1.436190e-06,1.002444e-08,1.450551e-06,1.681412e-09,1.236711e-09,2.708836e-08,1.170744e-03,1.233696e-01,1.867454e-02,2.02e-04,4.142817e-07,0.8750,3.564991e-09,2048,2048,24,24,0.8897,0.8879,ok
rq,mlp,ntk,softplus,4096,1,0,3,20037642,6129.240083,2.817876e-07,2.378555e-09,2.804103e-07,5.293039e+00,4.467827e-02,5.267169e+00,1.838078e-01,3.346719e-01,1.906872e-01,5.613906e-08,9.922322e-08,5.771247e-08,4.472e-09,9.032e-09,4.562e-09,5.019456e+00,2.397175e-02,4.858748e+00,1.533055e-06,7.107125e-09,1.470525e-06,1.309936e-09,3.569134e-10,3.528155e-09,8.544611e-04,5.021910e-02,2.399248e-03,8.37e-06,4.275249e-07,0.8750,2.378555e-09,2048,2048,24,24,0.8897,0.889,ok
rq,mlp,ntk,softplus,4096,1,0,4,20037642,6130.982303,2.946741e-07,3.937047e-09,2.942469e-07,5.538244e+00,7.399473e-02,5.530215e+00,1.838078e-01,3.420502e-01,1.865330e-01,5.613906e-08,1.035037e-07,5.945150e-08,4.472e-09,1.412e-08,6.117e-09,5.249003e+00,3.803774e-02,4.949360e+00,1.603164e-06,1.151014e-08,1.577452e-06,3.450294e-10,1.511299e-09,1.077428e-09,2.152178e-04,1.313015e-01,6.830183e-04,5.76e-03,4.381311e-07,0.1250,3.937047e-09,2048,2048,24,24,0.8897,0.8904,ok
rq,mlp,ntk,softplus,4096,1,1,2,20037642,6131.049829,2.973825e-07,2.962244e-09,2.694856e-07,5.589270e+00,5.567503e-02,5.064950e+00,1.886861e-01,4.751127e-01,1.924347e-01,6.287863e-08,9.346898e-08,6.344275e-08,6.232e-09,8.799e-09,6.686e-09,4.729469e+00,3.169226e-02,4.247697e+00,1.576070e-06,6.234823e-09,1.400400e-06,7.347531e-08,3.459336e-10,3.378173e-08,4.661932e-02,5.548411e-02,2.412292e-02,0.00e+00,4.590294e-07,0.1250,2.962244e-09,2048,2048,24,24,0.8898,0.8879,ok
rq,mlp,ntk,softplus,4096,1,1,3,20037642,6127.106658,2.845991e-07,3.197984e-09,2.759606e-07,5.342130e+00,6.002846e-02,5.179979e+00,1.886861e-01,4.116211e-01,1.906872e-01,6.287863e-08,8.315738e-08,5.771247e-08,6.232e-09,6.230e-09,4.562e-09,4.526166e+00,3.845701e-02,4.781647e+00,1.508321e-06,7.769242e-09,1.447190e-06,3.598047e-09,7.378514e-10,5.258786e-10,2.385466e-03,9.497084e-02,3.633791e-04,0.00e+00,4.360181e-07,0.1250,3.197984e-09,2048,2048,24,24,0.8898,0.889,ok
rq,mlp,ntk,softplus,4096,1,1,4,20037642,6128.804777,2.792346e-07,2.759563e-09,2.575977e-07,5.244340e+00,5.182770e-02,4.837974e+00,1.886861e-01,4.208337e-01,1.865330e-01,6.287863e-08,1.165901e-07,5.945150e-08,6.232e-09,1.253e-08,6.117e-09,4.440851e+00,2.366894e-02,4.332905e+00,1.479890e-06,6.557373e-09,1.380976e-06,1.044491e-09,1.078070e-10,1.096520e-07,7.057895e-04,1.644059e-02,7.940178e-02,0.00e+00,4.253711e-07,0.1250,2.759563e-09,2048,2048,24,24,0.8898,0.8904,ok
rq,mlp,ntk,softplus,4096,1,2,3,20037642,6127.764682,2.673915e-07,2.603157e-09,2.582410e-07,5.020208e+00,4.887362e-02,4.848411e+00,1.924347e-01,3.735862e-01,1.906872e-01,6.344275e-08,9.823388e-08,5.771247e-08,6.686e-09,9.853e-09,4.562e-09,4.214689e+00,2.649958e-02,4.474614e+00,1.389518e-06,6.968022e-09,1.354265e-06,2.766580e-09,2.938144e-10,3.297300e-09,1.991036e-03,4.216610e-02,2.434752e-03,2.15e-06,4.108660e-07,0.1250,2.603157e-09,2048,2048,24,24,0.8879,0.889,ok
rq,mlp,ntk,softplus,4096,1,2,4,20037642,6127.880221,2.923177e-07,3.347477e-09,2.796845e-07,5.488398e+00,6.285042e-02,5.251204e+00,1.924347e-01,4.987534e-01,1.865330e-01,6.344275e-08,9.858013e-08,5.945150e-08,6.686e-09,8.391e-09,6.117e-09,4.607582e+00,3.395692e-02,4.704414e+00,1.519049e-06,6.711689e-09,1.499383e-06,7.910465e-09,1.901179e-09,3.539378e-08,5.207513e-03,2.832639e-01,2.360556e-02,0.00e+00,4.551271e-07,0.1250,3.347477e-09,2048,2048,24,24,0.8879,0.8904,ok
rq,mlp,ntk,softplus,4096,1,3,4,20037642,6129.115107,2.806780e-07,2.480957e-09,2.871609e-07,5.271982e+00,4.659988e-02,5.393751e+00,1.906872e-01,4.691799e-01,1.865330e-01,5.771247e-08,1.224284e-07,5.945150e-08,4.562e-09,1.099e-08,6.117e-09,4.863386e+00,2.026455e-02,4.830171e+00,1.471929e-06,5.287859e-09,1.539464e-06,1.139907e-10,9.280984e-12,4.264422e-12,7.744307e-05,1.755150e-03,2.770069e-06,2.54e-07,4.483413e-07,0.8750,2.480957e-09,2048,2048,24,24,0.889,0.8904,ok
rq,mlp,sp,gelu,4096,1,0,1,20037642,124.585018,2.634851e-06,1.287711e-05,2.926586e-06,2.044832e-02,9.993555e-02,2.271239e-02,3.820478e-02,1.677308e+01,5.191704e-02,5.043037e-08,7.619418e-06,5.120962e-08,1.256e-09,2.173e-07,1.673e-09,5.224729e+01,1.690038e+00,5.714914e+01,6.896652e-05,7.677248e-07,5.637044e-05,4.821088e-08,9.491028e-09,1.878699e-06,6.990476e-04,1.236254e-02,3.332774e-02,1.14e-07,4.820786e-04,0.3750,2.634851e-06,2048,2048,24,24,0.9856,0.9858,ok
rq,mlp,sp,gelu,4096,1,0,2,20037642,124.55673,2.738221e-06,1.059894e-05,2.641739e-06,2.124090e-02,8.221796e-02,2.049247e-02,3.820478e-02,1.728566e+01,4.576989e-02,5.043037e-08,7.331767e-06,4.697313e-08,1.256e-09,3.498e-07,1.454e-09,5.429705e+01,1.445618e+00,5.623935e+01,7.167220e-05,6.131636e-07,5.771783e-05,1.402258e-07,8.093163e-09,3.030718e-07,1.956488e-03,1.319903e-02,5.250923e-03,1.10e-07,3.504320e-04,0.6250,2.641739e-06,2048,2048,24,24,0.9856,0.9857,ok
rq,mlp,sp,gelu,4096,1,0,3,20037642,124.615722,2.688776e-06,1.255687e-05,2.439298e-06,2.087711e-02,9.749831e-02,1.894002e-02,3.820478e-02,1.768647e+01,3.863526e-02,5.043037e-08,7.505321e-06,4.253070e-08,1.256e-09,3.085e-07,1.614e-09,5.331661e+01,1.673062e+00,5.735382e+01,7.037802e-05,7.099703e-07,6.313658e-05,5.819748e-11,7.663951e-10,5.909924e-07,8.269269e-07,1.079475e-03,9.360539e-03,1.08e-07,3.648961e-04,0.3750,2.439298e-06,2048,2048,24,24,0.9856,0.985,ok
rq,mlp,sp,gelu,4096,1,0,4,20037642,124.576082,2.611245e-06,1.257369e-05,2.390455e-06,2.026222e-02,9.756677e-02,1.854898e-02,3.820478e-02,2.029921e+01,3.464209e-02,5.043037e-08,7.354889e-06,4.657137e-08,1.256e-09,3.828e-07,1.599e-09,5.177921e+01,1.709568e+00,5.132886e+01,6.834865e-05,6.194176e-07,6.900437e-05,7.337164e-08,1.446238e-08,1.371667e-07,1.073491e-03,2.334835e-02,1.987797e-03,9.40e-08,4.388721e-04,0.6250,2.390455e-06,2048,2048,24,24,0.9856,0.9863,ok
rq,mlp,sp,gelu,4096,1,1,2,20037642,124.556757,2.792939e-06,1.306968e-05,2.660454e-06,2.166536e-02,1.013841e-01,2.063765e-02,5.191704e-02,2.041438e+01,4.576989e-02,5.120962e-08,8.125158e-06,4.697313e-08,1.673e-09,2.676e-07,1.454e-09,5.453934e+01,1.608545e+00,5.663777e+01,5.379619e-05,6.402196e-07,5.812672e-05,6.792954e-07,3.787524e-08,1.452316e-07,1.262720e-02,5.915977e-02,2.498534e-03,9.34e-08,4.854615e-04,0.6250,2.660454e-06,2048,2048,24,24,0.9858,0.9857,ok
rq,mlp,sp,gelu,4096,1,1,3,20037642,124.619742,3.059217e-06,1.373958e-05,2.401149e-06,2.375494e-02,1.066884e-01,1.864501e-02,5.191704e-02,1.937644e+01,3.863526e-02,5.120962e-08,7.166934e-06,4.253070e-08,1.673e-09,2.016e-07,1.614e-09,5.973910e+01,1.917080e+00,5.645683e+01,5.892510e-05,7.090871e-07,6.214915e-05,1.066220e-06,7.823069e-09,4.432316e-07,1.809450e-02,1.103259e-02,7.131740e-03,2.95e-07,4.399747e-04,0.6250,2.401149e-06,2048,2048,24,24,0.9858,0.985,ok
rq,mlp,sp,gelu,4096,1,1,4,20037642,124.575482,2.828734e-06,1.366120e-05,2.448510e-06,2.194963e-02,1.060045e-01,1.899927e-02,5.191704e-02,1.498342e+01,3.464209e-02,5.120962e-08,7.423750e-06,4.657137e-08,1.673e-09,2.229e-07,1.599e-09,5.523833e+01,1.840203e+00,5.257542e+01,5.448566e-05,9.117549e-07,7.068020e-05,1.296166e-06,3.568520e-11,1.137766e-07,2.378912e-02,3.913903e-05,1.609738e-03,1.27e-07,3.636224e-04,0.6250,2.448510e-06,2048,2048,24,24,0.9858,0.9863,ok
rq,mlp,sp,gelu,4096,1,2,3,20037642,124.620549,2.585223e-06,1.248987e-05,2.330518e-06,2.007462e-02,9.698563e-02,1.809680e-02,4.576989e-02,1.820652e+01,3.863526e-02,4.697313e-08,7.696663e-06,4.253070e-08,1.454e-09,3.147e-07,1.614e-09,5.503621e+01,1.622765e+00,5.479614e+01,5.648305e-05,6.860111e-07,6.032103e-05,6.768087e-10,3.126445e-08,1.793259e-06,1.198251e-05,4.557426e-02,2.972858e-02,0.00e+00,3.832710e-04,0.6250,2.330518e-06,2048,2048,24,24,0.9857,0.985,ok
