mode,regime,act,width,smooth,seedA,seedB,t,rq_t,flen_t,dnorm,status
mlp,ntk,tanh,4096,1,0,4,0.000000,1.066450e-07,2.003822e+00,6130.195429,ok
mlp,ntk,tanh,4096,1,0,4,0.125000,2.357861e-07,4.430338e+00,6130.195429,ok
mlp,ntk,tanh,4096,1,0,4,0.250000,3.135626e-07,5.891731e+00,6130.195429,ok
mlp,ntk,tanh,4096,1,0,4,0.375000,1.413422e-07,2.655771e+00,6130.195429,ok
mlp,ntk,tanh,4096,1,0,4,0.500000,5.759104e-09,1.082115e-01,6130.195429,ok
mlp,ntk,tanh,4096,1,0,4,0.625000,1.381260e-07,2.595339e+00,6130.195429,ok
mlp,ntk,tanh,4096,1,0,4,0.750000,3.111229e-07,5.845890e+00,6130.195429,ok
mlp,ntk,tanh,4096,1,0,4,0.875000,2.426993e-07,4.560235e+00,6130.195429,ok
mlp,ntk,tanh,4096,1,0,4,1.000000,1.102551e-07,2.071655e+00,6130.195429,ok
mlp,ntk,tanh,4096,1,1,2,0.000000,1.048936e-07,1.971390e+00,6130.93435,ok
mlp,ntk,tanh,4096,1,1,2,0.125000,2.356059e-07,4.428020e+00,6130.93435,ok
mlp,ntk,tanh,4096,1,1,2,0.250000,3.089427e-07,5.806325e+00,6130.93435,ok
mlp,ntk,tanh,4096,1,1,2,0.375000,1.378339e-07,2.590475e+00,6130.93435,ok
mlp,ntk,tanh,4096,1,1,2,0.500000,5.213987e-09,9.799260e-02,6130.93435,ok
mlp,ntk,tanh,4096,1,1,2,0.625000,1.292086e-07,2.428369e+00,6130.93435,ok
mlp,ntk,tanh,4096,1,1,2,0.750000,3.055738e-07,5.743009e+00,6130.93435,ok
mlp,ntk,tanh,4096,1,1,2,0.875000,2.470701e-07,4.643479e+00,6130.93435,ok
mlp,ntk,tanh,4096,1,1,2,1.000000,1.121584e-07,2.107926e+00,6130.93435,ok
mlp,ntk,tanh,4096,1,1,3,0.000000,1.130723e-07,2.121890e+00,6126.302311,ok
mlp,ntk,tanh,4096,1,1,3,0.125000,2.502358e-07,4.695873e+00,6126.302311,ok
mlp,ntk,tanh,4096,1,1,3,0.250000,3.168173e-07,5.945328e+00,6126.302311,ok
mlp,ntk,tanh,4096,1,1,3,0.375000,1.341942e-07,2.518261e+00,6126.302311,ok
mlp,ntk,tanh,4096,1,1,3,0.500000,6.173196e-09,1.158449e-01,6126.302311,ok
mlp,ntk,tanh,4096,1,1,3,0.625000,1.341329e-07,2.517109e+00,6126.302311,ok
mlp,ntk,tanh,4096,1,1,3,0.750000,3.116778e-07,5.848880e+00,6126.302311,ok
mlp,ntk,tanh,4096,1,1,3,0.875000,2.532070e-07,4.751630e+00,6126.302311,ok
mlp,ntk,tanh,4096,1,1,3,1.000000,1.135172e-07,2.130241e+00,6126.302311,ok
mlp,ntk,tanh,4096,1,1,4,0.000000,1.017962e-07,1.910593e+00,6126.792962,ok
mlp,ntk,tanh,4096,1,1,4,0.125000,2.255102e-07,4.232556e+00,6126.792962,ok
mlp,ntk,tanh,4096,1,1,4,0.250000,2.933024e-07,5.504934e+00,6126.792962,ok
mlp,ntk,tanh,4096,1,1,4,0.375000,1.309354e-07,2.457500e+00,6126.792962,ok
mlp,ntk,tanh,4096,1,1,4,0.500000,5.670418e-09,1.064269e-01,6126.792962,ok
mlp,ntk,tanh,4096,1,1,4,0.625000,1.249737e-07,2.345605e+00,6126.792962,ok
mlp,ntk,tanh,4096,1,1,4,0.750000,2.905709e-07,5.453665e+00,6126.792962,ok
mlp,ntk,tanh,4096,1,1,4,0.875000,2.386680e-07,4.479511e+00,6126.792962,ok
mlp,ntk,tanh,4096,1,1,4,1.000000,1.102138e-07,2.068579e+00,6126.792962,ok
mlp,ntk,tanh,4096,1,2,3,0.000000,1.075905e-07,2.019620e+00,6127.21209,ok
mlp,ntk,tanh,4096,1,2,3,0.125000,2.367906e-07,4.444883e+00,6127.21209,ok
mlp,ntk,tanh,4096,1,2,3,0.250000,3.101249e-07,5.821467e+00,6127.21209,ok
mlp,ntk,tanh,4096,1,2,3,0.375000,1.398198e-07,2.624609e+00,6127.21209,ok
mlp,ntk,tanh,4096,1,2,3,0.500000,5.639000e-09,1.058517e-01,6127.21209,ok
mlp,ntk,tanh,4096,1,2,3,0.625000,1.351000e-07,2.536012e+00,6127.21209,ok
mlp,ntk,tanh,4096,1,2,3,0.750000,3.134985e-07,5.884795e+00,6127.21209,ok
mlp,ntk,tanh,4096,1,2,3,0.875000,2.465849e-07,4.628736e+00,6127.21209,ok
mlp,ntk,tanh,4096,1,2,3,1.000000,1.104065e-07,2.072481e+00,6127.21209,ok
mlp,ntk,tanh,4096,1,2,4,0.000000,1.099098e-07,2.063257e+00,6127.360933,ok
mlp,ntk,tanh,4096,1,2,4,0.125000,2.469700e-07,4.636189e+00,6127.360933,ok
mlp,ntk,tanh,4096,1,2,4,0.250000,3.273238e-07,6.144612e+00,6127.360933,ok
