kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status
pair,4,mup,tanh,4,,0,4,,0.9137,0.9143,1.0354,,,100,ok
pair,4,mup,tanh,4,,1,2,,0.913,0.9127,0.6387,,,100,ok
pair,4,mup,tanh,4,,1,3,,0.913,0.9141,0.7973,,,100,ok
pair,4,mup,tanh,4,,1,4,,0.913,0.9143,0.5986,,,100,ok
pair,4,mup,tanh,4,,2,3,,0.9127,0.9141,0.898,,,100,ok
pair,4,mup,tanh,4,,2,4,,0.9127,0.9143,0.6188,,,100,ok
pair,4,mup,tanh,4,,3,4,,0.9141,0.9143,0.7478,,,100,ok
net,4,mup,tanh,8,0,,,0.9184,,,,0.054325,2.9226,100,ok
net,4,mup,tanh,8,1,,,0.9139,,,,0.138693,2.9566,100,ok
net,4,mup,tanh,8,2,,,0.9233,,,,0.21177,2.9118,100,ok
net,4,mup,tanh,8,3,,,0.9185,,,,0.241283,2.9173,100,ok
net,4,mup,tanh,8,4,,,0.9188,,,,0.183608,2.9189,100,ok
pair,4,mup,tanh,8,,0,1,,0.9184,0.9139,0.2929,,,100,ok
pair,4,mup,tanh,8,,0,2,,0.9184,0.9233,0.3956,,,100,ok
pair,4,mup,tanh,8,,0,3,,0.9184,0.9185,0.303,,,100,ok
pair,4,mup,tanh,8,,0,4,,0.9184,0.9188,0.339,,,100,ok
pair,4,mup,tanh,8,,1,2,,0.9139,0.9233,0.379,,,100,ok
pair,4,mup,tanh,8,,1,3,,0.9139,0.9185,0.6806,,,100,ok
pair,4,mup,tanh,8,,1,4,,0.9139,0.9188,0.3788,,,100,ok
pair,4,mup,tanh,8,,2,3,,0.9233,0.9185,0.3665,,,100,ok
pair,4,mup,tanh,8,,2,4,,0.9233,0.9188,0.3231,,,100,ok
pair,4,mup,tanh,8,,3,4,,0.9185,0.9188,1.3537,,,100,ok
