kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status,_src
net,0,ntk,gelu,4096,0.0,,,0.9169,,,,3.6e-05,0.0124,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,4096,1.0,,,0.9156,,,,3.7e-05,0.0123,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,4096,2.0,,,0.9162,,,,3.6e-05,0.0124,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,4096,3.0,,,0.9184,,,,3.9e-05,0.0125,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,4096,4.0,,,0.917,,,,4.1e-05,0.0125,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,64,0.0,,,0.9227,,,,0.001237,0.2156,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,64,1.0,,,0.9193,,,,0.001277,0.2156,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,64,2.0,,,0.9229,,,,0.001321,0.2196,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,64,3.0,,,0.9218,,,,0.001328,0.2125,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,64,4.0,,,0.9225,,,,0.001069,0.2129,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,128,0.0,,,0.9177,,,,0.000666,0.15,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,128,1.0,,,0.9175,,,,0.000721,0.1518,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,128,2.0,,,0.9171,,,,0.000669,0.1492,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,128,3.0,,,0.9148,,,,0.000646,0.1521,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,128,4.0,,,0.918,,,,0.000875,0.1524,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,256,0.0,,,0.9155,,,,0.000344,0.1014,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,256,1.0,,,0.9162,,,,0.000352,0.103,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,256,2.0,,,0.9155,,,,0.000322,0.1012,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,256,3.0,,,0.9154,,,,0.000308,0.1006,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,256,4.0,,,0.9192,,,,0.000287,0.1002,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,512,0.0,,,0.9161,,,,0.000176,0.0647,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,512,1.0,,,0.9122,,,,0.000244,0.0656,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,512,2.0,,,0.9125,,,,0.000181,0.0655,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,512,3.0,,,0.9167,,,,0.000197,0.0647,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,512,4.0,,,0.9142,,,,0.000178,0.0641,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,1024,0.0,,,0.912,,,,0.000117,0.0387,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,1024,1.0,,,0.9117,,,,0.000147,0.0387,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,1024,2.0,,,0.9133,,,,0.000124,0.0402,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,1024,3.0,,,0.9089,,,,0.000109,0.039,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,1024,4.0,,,0.9109,,,,0.000104,0.04,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,2048,0.0,,,0.9132,,,,5.9e-05,0.0227,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,2048,1.0,,,0.9112,,,,6.2e-05,0.0224,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,2048,2.0,,,0.9125,,,,6.2e-05,0.0225,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,2048,3.0,,,0.9126,,,,7e-05,0.0228,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,2048,4.0,,,0.913,,,,6.5e-05,0.0224,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,4096,0.0,,,0.9132,,,,3.8e-05,0.0122,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,4096,1.0,,,0.9147,,,,3e-05,0.0121,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,4096,2.0,,,0.9121,,,,3.4e-05,0.0122,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,4096,3.0,,,0.9126,,,,3.1e-05,0.012,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,tanh,4096,4.0,,,0.9112,,,,3.9e-05,0.0118,30,ok,param_mlp_v2_shard0.csv
net,1,ntk,swish,64,0.0,,,0.9194,,,,0.004153,0.1795,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,64,1.0,,,0.9287,,,,0.00331,0.1838,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,64,2.0,,,0.9214,,,,0.00378,0.185,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,64,3.0,,,0.9263,,,,0.003476,0.1858,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,64,4.0,,,0.9229,,,,0.004141,0.1769,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,128,0.0,,,0.9233,,,,0.002519,0.1302,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,128,1.0,,,0.9216,,,,0.001635,0.1338,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,128,2.0,,,0.921,,,,0.001572,0.1336,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,128,3.0,,,0.9217,,,,0.002112,0.1288,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,128,4.0,,,0.9178,,,,0.00265,0.1275,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,256,0.0,,,0.9177,,,,0.000738,0.0922,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,256,1.0,,,0.9187,,,,0.000909,0.0906,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,256,2.0,,,0.9178,,,,0.000897,0.0908,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,256,3.0,,,0.9209,,,,0.001138,0.0908,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,256,4.0,,,0.9153,,,,0.001368,0.0945,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,512,0.0,,,0.9154,,,,0.000437,0.0611,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,512,1.0,,,0.9164,,,,0.000639,0.0619,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,512,2.0,,,0.9153,,,,0.000446,0.0632,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,512,3.0,,,0.9153,,,,0.000407,0.0627,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,512,4.0,,,0.9182,,,,0.000399,0.0626,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,1024,0.0,,,0.9132,,,,0.000175,0.0398,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,1024,1.0,,,0.9133,,,,0.000158,0.04,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,1024,2.0,,,0.9132,,,,0.000174,0.0401,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,1024,3.0,,,0.9118,,,,0.000161,0.0398,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,1024,4.0,,,0.912,,,,0.00017,0.0403,30,ok,param_mlp_v2_shard1.csv
