mode,regime,act,width,n_seeds,n_pairs,acc_med,dF_med,dF_q1,dF_q3,dev_rel_med,dev_rel_q1,dev_rel_q3,dev_rel2_med,gamma_mid_med,flen_mid_med,flen_mid_q1,flen_mid_q3,rq_mid_med,fd_instab_med,alpha_dF,alpha_dF_r2,alpha_devrel2,alpha_devrel2_r2,alpha_flen,alpha_flen_r2
mlp,ntk,softplus,256,,10,,,,,0.008626525,0.0081077975,0.008930424250000001,1.2352328661892835e-05,89.44450499999999,0.20154139999999998,0.17163075,0.2389241,8.276238e-07,0.02428,,,1.0563,0.9676,0.3856,0.9255
mlp,ntk,softplus,512,,10,,,,,0.007969437999999999,0.00769691525,0.00807001475,7.253789202044952e-06,129.35195,0.17748209999999998,0.161748575,0.221023475,2.9425784999999997e-07,0.045675,,,1.0563,0.9676,0.3856,0.9255
mlp,ntk,softplus,1024,,10,,,,,0.0060650205,0.0060046777499999995,0.00622182525,3.29821672688789e-06,157.15335,0.12311929999999999,0.1080569,0.12618235,7.278795000000001e-08,0.052129999999999996,,,1.0563,0.9676,0.3856,0.9255
mlp,ntk,softplus,2048,,10,,,,,0.0040704105,0.00405448925,0.0041267175,1.24220212691957e-06,173.14895,0.082830725,0.07259909749999999,0.08921871249999999,1.543217e-08,0.088665,,,1.0563,0.9676,0.3856,0.9255
mlp,ntk,softplus,4096,,10,,,,,0.00227703,0.00224499025,0.00229668275,3.7144798069312705e-07,159.4918,0.053751364999999995,0.0492197475,0.062144955,2.860903e-09,0.21935,,,1.0563,0.9676,0.3856,0.9255
mlp,ntk,swish,64,,10,,,,,0.015209245,0.0146883625,0.015990795000000002,4.7365499792705585e-05,72.859095,0.4518895,0.402908725,0.59397195,8.752815e-06,0.01163,,,1.0233,0.9744,0.3719,0.9164
mlp,ntk,swish,128,,10,,,,,0.013029685,0.012752645,0.013632829999999999,2.800504424384823e-05,93.3853,0.37649995,0.3136481,0.478013425,3.4866375e-06,0.015025,,,1.0233,0.9744,0.3719,0.9164
mlp,ntk,swish,256,,10,,,,,0.01274999,0.012339315,0.012888535,1.8249703092873277e-05,143.84629999999999,0.39557155,0.3198088,0.42685344999999997,1.6224104999999999e-06,0.022085,,,1.0233,0.9744,0.3719,0.9164
mlp,ntk,swish,512,,10,,,,,0.010435960000000001,0.0102859475,0.0105560975,9.504633893450696e-06,177.9619,0.29027559999999997,0.2487123,0.309525725,4.807908999999999e-07,0.032215,,,1.0233,0.9744,0.3719,0.9164
mlp,ntk,swish,1024,,10,,,,,0.008600996999999999,0.008496046,0.00869586625,4.6769724989679726e-06,241.94400000000002,0.2257476,0.21069812499999999,0.264486375,1.334553e-07,0.050315,,,1.0233,0.9744,0.3719,0.9164
mlp,ntk,swish,2048,,10,,,,,0.0059154410000000004,0.005802427000000001,0.00602392375,1.8064221359298475e-06,272.30675,0.13496894999999998,0.116629875,0.144465625,2.515084e-08,0.08280499999999999,,,1.0233,0.9744,0.3719,0.9164
mlp,ntk,swish,4096,,10,,,,,0.0037863044999999996,0.0037442427499999997,0.00379999975,6.179962585590116e-07,293.575,0.09736555499999999,0.0934818775,0.102655075,5.1836035e-09,0.1307,,,1.0233,0.9744,0.3719,0.9164
mlp,ntk,tanh,64,,10,,,,,0.015509285000000001,0.0148599425,0.01609049,4.822767221319393e-05,80.45026,0.28116415,0.2501218,0.327483075,5.426854e-06,0.013444999999999999,,,1.0871,0.974,0.2241,0.9707
mlp,ntk,tanh,128,,10,,,,,0.0138122,0.013297722500000001,0.014565175,2.9641230622921997e-05,102.4236,0.21870625,0.202712125,0.23039125,2.0164355000000003e-06,0.01885,,,1.0871,0.974,0.2241,0.9707
mlp,ntk,tanh,256,,10,,,,,0.012687384999999999,0.0121201425,0.013115380000000001,1.8190265507923807e-05,145.27395,0.1826051,0.16422475,0.18804490000000001,7.493326000000001e-07,0.02477,,,1.0871,0.974,0.2241,0.9707
mlp,ntk,tanh,512,,10,,,,,0.01052293,0.0101618825,0.0108492125,9.594123957310369e-06,187.2194,0.15145255,0.147367125,0.158708525,2.5141435e-07,0.036705,,,1.0871,0.974,0.2241,0.9707
mlp,ntk,tanh,1024,,10,,,,,0.0074749785,0.00741599175,0.00757727625,4.069960647025387e-06,222.10250000000002,0.1337641,0.12816345,0.1445564,7.9265955e-08,0.056895,,,1.0871,0.974,0.2241,0.9707
mlp,ntk,tanh,2048,,10,,,,,0.0049163850000000005,0.0048978655,0.0050127,1.5018489710024846e-06,251.47035,0.11904085,0.11396395000000001,0.128225725,2.2209565000000002e-08,0.09646,,,1.0871,0.974,0.2241,0.9707
mlp,ntk,tanh,4096,,10,,,,,0.0031368435,0.00303454125,0.00318485,5.118543984509242e-07,275.5423,0.10979285,0.1066035,0.1149345,5.8472475e-09,0.15335,,,1.0871,0.974,0.2241,0.9707
mlp,sp,gelu,64,,10,,,,,0.09298102999999999,0.0812556425,0.098659465,0.0033278907777301815,52.453604999999996,0.61538545,0.44690942499999997,0.707600575,0.001570333,0.008241,,,0.3205,0.4342,0.4417,0.3601
mlp,sp,gelu,128,,10,,,,,0.04822087,0.043785215,0.050326907500000004,0.001550756508240303,28.27852,0.18445125,0.15209097500000002,0.191650025,0.00038789550000000003,0.024239999999999998,,,0.3205,0.4342,0.4417,0.3601
mlp,sp,gelu,256,,10,,,,,0.02867511,0.026354694999999997,0.0325740075,0.0007723364342863031,18.135550000000002,0.054949095,0.0512915225,0.05783618,7.959252e-05,0.04599,,,0.3205,0.4342,0.4417,0.3601
mlp,sp,gelu,512,,10,,,,,0.024613385,0.0238591725,0.025408689999999998,0.0005138005131023809,17.128815,0.02896065,0.024873707499999998,0.0328332625,2.5212495e-05,0.09118,,,0.3205,0.4342,0.4417,0.3601
mlp,sp,gelu,1024,,10,,,,,0.028816309999999998,0.0283928525,0.0301161775,0.0004458234192240044,21.290399999999998,0.028490595,0.0245172575,0.031749904999999995,1.3607590000000001e-05,0.12530000000000002,,,0.3205,0.4342,0.4417,0.3601
mlp,sp,gelu,2048,,10,,,,,0.04556197,0.041874,0.047814575,0.0005104579252444717,34.965635,0.054093995,0.0480987975,0.059169982499999996,1.358679e-05,0.1773,,,0.3205,0.4342,0.4417,0.3601
mlp,sp,gelu,4096,,10,,,,,0.1312816,0.11818044999999999,0.160324275,0.0010539899852597154,61.621314999999996,0.0996097,0.09751544499999999,0.102382275,1.2836010000000001e-05,0.18830000000000002,,,0.3205,0.4342,0.4417,0.3601
mlp,sp,softplus,64,,10,,,,,0.06748142,0.064378535,0.0766554025,0.002534697458709232,27.390484999999998,0.32584535,0.304641475,0.4072426,0.0009131396000000001,0.007991,,,0.5904,0.7861,0.5203,0.4627
mlp,sp,softplus,128,,10,,,,,0.03031474,0.0284331125,0.03134488,0.0009855758580660742,15.229585,0.069482,0.0644466325,0.0805773575,0.0001482229,0.016355,,,0.5904,0.7861,0.5203,0.4627
mlp,sp,softplus,256,,10,,,,,0.01755269,0.016863219999999998,0.0192209175,0.00046788034178966287,11.132405,0.022957495,0.0211143175,0.0239530325,3.2754305e-05,0.02772,,,0.5904,0.7861,0.5203,0.4627
mlp,sp,softplus,512,,10,,,,,0.01276739,0.012326417499999999,0.013671312500000001,0.00026117056307479975,10.302265,0.014650475,0.014047582500000001,0.016632545000000002,1.2248845e-05,0.029115,,,0.5904,0.7861,0.5203,0.4627
mlp,sp,softplus,1024,,10,,,,,0.01223785,0.01158023,0.0131496625,0.0001849265091447573,10.55017,0.01297422,0.01129503,0.0140064975,5.9227509999999996e-06,0.04352,,,0.5904,0.7861,0.5203,0.4627
mlp,sp,softplus,2048,,10,,,,,0.01573526,0.01448959,0.016178745,0.00017235227092570808,13.264955,0.01721594,0.01610313,0.018181975,4.127921000000001e-06,0.04287,,,0.5904,0.7861,0.5203,0.4627
mlp,sp,softplus,4096,,10,,,,,0.030743214999999997,0.027634865,0.03541273,0.000242308029907528,18.688769999999998,0.03449091,0.030619292500000003,0.0381302125,4.283612e-06,0.050655,,,0.5904,0.7861,0.5203,0.4627
mlp,sp,swish,64,,10,,,,,0.099641235,0.079508295,0.124023475,0.0036180318068645546,46.736545,0.5404484,0.456592575,0.7862457,0.00140542,0.008839,,,0.3961,0.475,0.4786,0.423
mlp,sp,swish,128,,10,,,,,0.04324557,0.0403301925,0.044770739999999996,0.0014171484001083865,23.57833,0.12159325,0.11452155,0.12755302500000001,0.00026367554999999997,0.023,,,0.3961,0.475,0.4786,0.423
mlp,sp,swish,256,,10,,,,,0.027359414999999998,0.025486305,0.029481825,0.0007454674757037783,16.13765,0.046006325,0.0432728375,0.0555067775,6.853858e-05,0.049355,,,0.3961,0.475,0.4786,0.423
mlp,sp,swish,512,,10,,,,,0.021852375,0.0196599175,0.023397809999999998,0.0004572071527546561,15.21536,0.024577965,0.0223485875,0.02766198,2.1527315e-05,0.06687,,,0.3961,0.475,0.4786,0.423
mlp,sp,swish,1024,,10,,,,,0.02092525,0.019962365000000003,0.021909345,0.0003229631543394777,17.556425,0.02515125,0.0237763325,0.02682976,1.196432e-05,0.095735,,,0.3961,0.475,0.4786,0.423
mlp,sp,swish,2048,,10,,,,,0.03151838,0.028846265,0.03359764,0.0003512865637393802,26.488374999999998,0.03365842,0.030877245,0.035891624999999996,8.362878e-06,0.09109500000000001,,,0.3961,0.475,0.4786,0.423
mlp,sp,swish,4096,,10,,,,,0.11683959999999999,0.09662898249999999,0.1252289,0.000934081095667106,45.91626,0.07038261500000001,0.06762603,0.08032031249999999,8.9969835e-06,0.092725,,,0.3961,0.475,0.4786,0.423
mlp,sp,tanh,64,,10,,,,,0.24700175000000002,0.186879575,0.2924528,0.008471493983228676,162.9694,2.6935965,1.72733275,2.95639275,0.0063729895000000005,0.0018715,,,0.4993,0.4848,0.7115,0.6594
mlp,sp,tanh,128,,10,,,,,0.08183451,0.075634545,0.09382726250000001,0.0026810085975178264,54.27189,0.61858225,0.53682595,0.719115625,0.001329523,0.0055325,,,0.4993,0.4848,0.7115,0.6594
mlp,sp,tanh,256,,10,,,,,0.03412252,0.032290165,0.0394617825,0.0009344774652250048,25.866075000000002,0.16615760000000002,0.153901975,0.192444275,0.00024785475,0.013075,,,0.4993,0.4848,0.7115,0.6594
mlp,sp,tanh,512,,10,,,,,0.023363295,0.0215325425,0.02582962,0.00048508730677093454,19.076054999999997,0.086006695,0.074252105,0.0956681925,7.422474000000001e-05,0.018349999999999998,,,0.4993,0.4848,0.7115,0.6594
mlp,sp,tanh,1024,,10,,,,,0.02634553,0.024444655,0.028500017500000002,0.00039993692605660167,22.109715,0.0787061,0.0724111325,0.08655365749999999,3.6213845e-05,0.036355,,,0.4993,0.4848,0.7115,0.6594
mlp,sp,tanh,2048,,10,,,,,0.06050701,0.04728483,0.0632965075,0.0006564972577761646,41.29536,0.10981495,0.1008184,0.122902025,2.5864995e-05,0.07364,,,0.4993,0.4848,0.7115,0.6594
mlp,sp,tanh,4096,,10,,,,,0.147144,0.116111625,0.15545725,0.0011356912871693093,152.7748,0.10962939999999999,0.09751462749999999,0.1389512,1.3052315e-05,0.1355,,,0.4993,0.4848,0.7115,0.6594
