kind,mode,shard,regime,act,width,seedA,seedB,dnorm,dev_geo,dev_rel,gamma_mid,flen_A,flen_mid,flen_B,rq_A,rq_mid,rq_B,lam,lam_rel,cg_resid,fd_instab,accA,accB,status
geo,mlp,,ntk,gelu,2048,1,2,3277.1501,1.998847e+01,6.099345e-03,3.074117e+02,3.050199e+00,2.244990e-01,3.221400e+00,5.680224e-07,4.180727e-08,5.999043e-07,1.1134e-03,0.01,9.87e-07,8.305e-02,0.9205,0.9181,ok
geo,mlp,,ntk,gelu,2048,1,3,3274.9382,2.016667e+01,6.157878e-03,2.996632e+02,3.054170e+00,1.668688e-01,3.356618e+00,5.695306e-07,3.111708e-08,6.259300e-07,1.1134e-03,0.01,9.31e-07,8.507e-02,0.9205,0.9171,ok
geo,mlp,,ntk,gelu,2048,1,4,3274.2673,1.999899e+01,6.107927e-03,3.039765e+02,3.052679e+00,2.341351e-01,3.117950e+00,5.694857e-07,4.367856e-08,5.816622e-07,1.1134e-03,0.01,8.88e-07,9.346e-02,0.9205,0.9167,ok
geo,mlp,,ntk,gelu,2048,2,3,3275.5034,2.013180e+01,6.146171e-03,3.005342e+02,3.194683e+00,2.745794e-01,3.591493e+00,5.955272e-07,5.118490e-08,6.694974e-07,1.1106e-03,0.01,9.17e-07,6.300e-02,0.9181,0.9171,ok
geo,mlp,,ntk,gelu,2048,2,4,3274.3691,2.026283e+01,6.188315e-03,3.079796e+02,3.444710e+00,2.403670e-01,3.376507e+00,6.425802e-07,4.483834e-08,6.298575e-07,1.1106e-03,0.01,9.00e-07,9.929e-02,0.9181,0.9167,ok
geo,mlp,,ntk,gelu,2048,3,4,3275.8804,2.020085e+01,6.166540e-03,2.991529e+02,3.612536e+00,1.654077e-01,3.159055e+00,6.732651e-07,3.082688e-08,5.887503e-07,1.1068e-03,0.01,8.68e-07,6.822e-02,0.9171,0.9167,ok
geo,mlp,,ntk,gelu,4096,0,1,6125.0762,2.421133e+01,3.952821e-03,3.308282e+02,3.861862e+00,2.144552e-01,3.806648e+00,2.058751e-07,1.143257e-08,2.029316e-07,9.8327e-04,0.01,9.95e-07,1.725e-01,0.9169,0.9156,ok
geo,mlp,,ntk,gelu,4096,0,2,6130.9292,2.408479e+01,3.928408e-03,3.286998e+02,3.890400e+00,1.897874e-01,3.757715e+00,2.070006e-07,1.009822e-08,1.999407e-07,9.8327e-04,0.01,8.43e-07,1.346e-01,0.9169,0.9162,ok
geo,mlp,,ntk,gelu,4096,0,3,6128.9175,2.460201e+01,4.014087e-03,3.179420e+02,3.970248e+00,1.118585e-01,3.697131e+00,2.113879e-07,5.955682e-09,1.968463e-07,9.8327e-04,0.01,9.78e-07,1.628e-01,0.9169,0.9184,ok
geo,mlp,,ntk,gelu,4096,0,4,6129.6475,2.518395e+01,4.108548e-03,3.213673e+02,4.025413e+00,1.621695e-01,3.685995e+00,2.142740e-07,8.632335e-09,1.962067e-07,9.8327e-04,0.01,9.53e-07,1.537e-01,0.9169,0.917,ok
geo,mlp,,ntk,gelu,4096,1,2,6131.0659,2.321336e+01,3.786187e-03,3.138877e+02,3.707632e+00,1.609831e-01,4.014906e+00,1.972671e-07,8.565213e-09,2.136158e-07,1.0104e-03,0.01,7.09e-07,1.265e-01,0.9156,0.9162,ok
geo,mlp,,ntk,gelu,4096,1,3,6126.9561,2.398426e+01,3.914548e-03,3.192260e+02,3.961464e+00,1.310561e-01,3.888081e+00,2.110553e-07,6.982288e-09,2.071456e-07,1.0104e-03,0.01,8.97e-07,1.499e-01,0.9156,0.9184,ok
geo,mlp,,ntk,gelu,4096,1,4,6126.7925,2.501895e+01,4.083531e-03,3.080793e+02,4.058301e+00,1.346655e-01,3.796270e+00,2.162260e-07,7.174968e-09,2.022650e-07,1.0104e-03,0.01,9.39e-07,2.636e-01,0.9156,0.917,ok
geo,mlp,,ntk,gelu,4096,2,3,6127.2485,2.442455e+01,3.986218e-03,3.117081e+02,4.233677e+00,1.400208e-01,4.128726e+00,2.255365e-07,7.459187e-09,2.199455e-07,9.9559e-04,0.01,9.58e-07,1.238e-01,0.9162,0.9184,ok
geo,mlp,,ntk,gelu,4096,2,4,6128.1396,2.406471e+01,3.926920e-03,3.217055e+02,3.932718e+00,1.528454e-01,3.792312e+00,2.094428e-07,8.140015e-09,2.019653e-07,9.9559e-04,0.01,9.86e-07,1.296e-01,0.9162,0.917,ok
geo,mlp,,ntk,gelu,4096,3,4,6129.3047,2.449495e+01,3.996367e-03,3.125645e+02,4.092196e+00,1.741252e-01,4.054995e+00,2.178532e-07,9.269773e-09,2.158728e-07,1.0153e-03,0.01,8.24e-07,1.069e-01,0.9184,0.917,ok
geo,mlp,,ntk,tanh,64,0,1,321.2673,4.955123e+00,1.542368e-02,7.824337e+01,6.434003e-01,2.335182e-01,6.696471e-01,1.246746e-05,4.524990e-06,1.297606e-05,1.7283e-03,0.01,9.97e-07,1.333e-02,0.9227,0.9193,ok
geo,mlp,,ntk,tanh,64,0,2,321.8329,4.520522e+00,1.404618e-02,6.916418e+01,8.743674e-01,2.427988e-01,8.193443e-01,1.688352e-05,4.688302e-06,1.582106e-05,1.7283e-03,0.01,9.94e-07,1.356e-02,0.9227,0.9229,ok
geo,mlp,,ntk,tanh,64,0,3,322.1742,4.561501e+00,1.415849e-02,7.067387e+01,5.967236e-01,2.135563e-01,7.409468e-01,1.149798e-05,4.114915e-06,1.427695e-05,1.7283e-03,0.01,9.34e-07,1.741e-02,0.9227,0.9218,ok
geo,mlp,,ntk,tanh,64,0,4,321.9006,4.904489e+00,1.523603e-02,8.004918e+01,9.401404e-01,2.871830e-01,7.989200e-01,1.814592e-05,5.543003e-06,1.542019e-05,1.7283e-03,0.01,9.05e-07,1.533e-02,0.9227,0.9225,ok
geo,mlp,,ntk,tanh,64,1,2,321.0024,4.729836e+00,1.473458e-02,7.268459e+01,6.427286e-01,2.720908e-01,7.319068e-01,1.247501e-05,5.281135e-06,1.420591e-05,1.9831e-03,0.01,9.60e-07,1.381e-02,0.9193,0.9229,ok
geo,mlp,,ntk,tanh,64,1,3,320.7642,5.111388e+00,1.593503e-02,8.085134e+01,1.000419e+00,3.596052e-01,1.191382e+00,1.944645e-05,6.990112e-06,2.315845e-05,1.9831e-03,0.01,9.61e-07,1.277e-02,0.9193,0.9218,ok
geo,mlp,,ntk,tanh,64,1,4,320.3653,5.545304e+00,1.730931e-02,8.500289e+01,1.171382e+00,3.259446e-01,1.193137e+00,2.282640e-05,6.351594e-06,2.325034e-05,1.9831e-03,0.01,9.56e-07,1.194e-02,0.9193,0.9225,ok
geo,mlp,,ntk,tanh,64,2,3,322.1842,5.435579e+00,1.687103e-02,8.926702e+01,9.233125e-01,3.563382e-01,9.799879e-01,1.778976e-05,6.865684e-06,1.888174e-05,1.9460e-03,0.01,9.74e-07,1.416e-02,0.9229,0.9218,ok
geo,mlp,,ntk,tanh,64,2,4,321.4944,5.189663e+00,1.614231e-02,8.346001e+01,1.146910e+00,3.279959e-01,1.021391e+00,2.219281e-05,6.346751e-06,1.976401e-05,1.9460e-03,0.01,9.75e-07,1.315e-02,0.9229,0.9225,ok
geo,mlp,,ntk,tanh,64,3,4,321.8993,5.019984e+00,1.559489e-02,8.180048e+01,6.534392e-01,2.751453e-01,6.990515e-01,1.261233e-05,5.310705e-06,1.349271e-05,1.7707e-03,0.01,9.80e-07,1.325e-02,0.9218,0.9225,ok
geo,mlp,,ntk,tanh,128,0,1,465.1985,6.226749e+00,1.338515e-02,9.776662e+01,7.018799e-01,1.934409e-01,7.948406e-01,6.486587e-06,1.787729e-06,7.345705e-06,1.4134e-03,0.01,9.68e-07,1.782e-02,0.9177,0.9175,ok
geo,mlp,,ntk,tanh,128,0,2,465.3697,5.890363e+00,1.265739e-02,9.014173e+01,8.057538e-01,1.992718e-01,6.662024e-01,7.441084e-06,1.840262e-06,6.152336e-06,1.4134e-03,0.01,9.94e-07,1.888e-02,0.9177,0.9171,ok
geo,mlp,,ntk,tanh,128,0,3,466.1056,6.184561e+00,1.326858e-02,9.670371e+01,7.186398e-01,1.930826e-01,6.407219e-01,6.615653e-06,1.777480e-06,5.898356e-06,1.4134e-03,0.01,9.30e-07,2.237e-02,0.9177,0.9148,ok
geo,mlp,,ntk,tanh,128,0,4,465.9658,6.766249e+00,1.452091e-02,1.084321e+02,7.699151e-01,2.130331e-01,8.486229e-01,7.091936e-06,1.962317e-06,7.816939e-06,1.4134e-03,0.01,9.45e-07,3.144e-02,0.9177,0.918,ok
geo,mlp,,ntk,tanh,128,1,2,465.2819,6.018296e+00,1.293473e-02,9.411018e+01,6.218295e-01,2.174287e-01,7.025503e-01,5.744721e-06,2.008697e-06,6.490454e-06,1.3992e-03,0.01,9.86e-07,1.991e-02,0.9175,0.9171,ok
geo,mlp,,ntk,tanh,128,1,3,466.1237,7.650757e+00,1.641358e-02,1.238406e+02,9.591240e-01,2.419737e-01,1.079031e+00,8.828813e-06,2.227388e-06,9.932567e-06,1.3992e-03,0.01,9.68e-07,1.679e-02,0.9175,0.9148,ok
