mode,regime,act,width,n_seeds,n_pairs,acc_med,dF_med,dF_q1,dF_q3,dev_rel_med,dev_rel_q1,dev_rel_q3,dev_rel2_med,gamma_mid_med,flen_mid_med,flen_mid_q1,flen_mid_q3,rq_mid_med,fd_instab_med,alpha_dF,alpha_dF_r2,alpha_devrel2,alpha_devrel2_r2,alpha_flen,alpha_flen_r2
ts,mup,tanh,4096,,10,,,,,0.16406805,0.15801927500000001,0.16865315,0.0008504577330357282,279.29705,0.1475947,0.142945075,0.1505907,7.878312000000002e-06,0.06314,,,0.4742,0.9439,1.1264,0.9917
ts,ntk,gelu,64,,10,,,,,0.017378445,0.0169293525,0.018488644999999998,0.00014738043752859028,23.26443,0.34195695000000004,0.309868225,0.38586349999999997,4.911298e-05,0.0045215,,,1.5971,0.9925,0.3258,0.9241
ts,ntk,gelu,128,,10,,,,,0.012660335,0.012285402499999999,0.013112355,6.232041234822416e-05,30.758935,0.30629649999999997,0.256773275,0.347012025,1.479902e-05,0.006675,,,1.5971,0.9925,0.3258,0.9241
ts,ntk,gelu,256,,10,,,,,0.009262475,0.00905298375,0.009424115,2.486073675829067e-05,43.5895,0.30703254999999996,0.2749792,0.428507075,4.414773e-06,0.012665,,,1.5971,0.9925,0.3258,0.9241
ts,ntk,gelu,512,,10,,,,,0.0063456929999999995,0.0060620275,0.006382074749999999,8.871969722252307e-06,58.251059999999995,0.22357325,0.21708395,0.2932306,8.7248095e-07,0.02695,,,1.5971,0.9925,0.3258,0.9241
ts,ntk,gelu,1024,,10,,,,,0.0038426514999999996,0.0037103494999999997,0.00422355225,2.7260851432943287e-06,69.422175,0.18977739999999998,0.15433592499999998,0.222208225,1.9109565e-07,0.061265,,,1.5971,0.9925,0.3258,0.9241
ts,ntk,gelu,2048,,10,,,,,0.0020763755,0.00205025575,0.00210679325,7.3772624872221e-07,71.11928,0.1227731,0.120408825,0.125893075,3.101646e-08,0.104555,,,1.5971,0.9925,0.3258,0.9241
ts,ntk,gelu,4096,,10,,,,,0.00108968,0.00108719025,0.0010967435,1.930154457575298e-07,71.64001999999999,0.089704645,0.084308765,0.09633716,5.6271285e-09,0.25145,,,1.5971,0.9925,0.3258,0.9241
ts,ntk,softplus,64,,10,,,,,0.012505084999999999,0.0120442025,0.013674605000000001,0.00010489922080675439,14.74793,0.091876705,0.0823667975,0.10246617499999999,1.2946019999999999e-05,0.006600999999999999,,,1.6999,0.9915,0.2983,0.8661
ts,ntk,softplus,128,,10,,,,,0.0090259455,0.00859017975,0.00934536575,4.417602177779125e-05,19.828969999999998,0.09261873,0.087849215,0.10995225,4.410268e-06,0.007873,,,1.6999,0.9915,0.2983,0.8661
ts,ntk,softplus,256,,10,,,,,0.006173877,0.006019642,0.00641365375,1.6469281749765948e-05,24.569339999999997,0.09997700500000001,0.0923616075,0.10607795,1.428718e-06,0.018125,,,1.6999,0.9915,0.2983,0.8661
ts,ntk,softplus,512,,10,,,,,0.0039272005,0.0038574645,0.0039629775,5.4771484489141265e-06,30.526285,0.07324559,0.06516593749999999,0.0873634225,2.8521555e-07,0.03173,,,1.6999,0.9915,0.2983,0.8661
ts,ntk,softplus,1024,,10,,,,,0.0021900465,0.00216452725,0.00223578325,1.5520952391626908e-06,32.97578,0.055803649999999996,0.051447855,0.06456016,5.607913e-08,0.04936,,,1.6999,0.9915,0.2983,0.8661
ts,ntk,softplus,2048,,10,,,,,0.0010977125,0.0010837725,0.0012367335,3.9007315544560085e-07,31.130585,0.03688867,0.0344964725,0.0395090675,9.319399499999999e-09,0.1075,,,1.6999,0.9915,0.2983,0.8661
ts,ntk,softplus,4096,,10,,,,,0.0005102601500000001,0.000507325125,0.0005135572000000001,9.036606154200245e-08,27.66305,0.02991983,0.0269794175,0.03238599,1.877027e-09,0.2087,,,1.6999,0.9915,0.2983,0.8661
