regime,act,width,seedA,seedB,dnorm,lam_max,devrel_1e-1,devrel_1e-2,devrel_1e-3,rhs_1e-2,cg_resid,fd_instab,status
mup,swish,2048,0,3,1.302933e+02,1.693127e-02,2.632317e-03,1.055236e-02,8.506667e-02,4.395925e-01,1.36e-05,5.398e-01,ok
mup,swish,4096,0,1,1.828175e+02,1.871027e-02,1.829192e-03,9.785699e-03,8.734412e-02,1.335128e+00,7.23e-05,4.482e-01,ok
mup,swish,4096,0,2,1.839990e+02,1.871027e-02,1.730541e-03,7.384315e-03,6.005314e-02,6.803916e-01,4.88e-05,3.905e-01,ok
mup,swish,4096,0,3,1.842048e+02,1.871027e-02,1.611717e-03,8.027085e-03,6.741829e-02,5.948041e-01,2.10e-05,5.020e-01,ok
mup,softplus,64,0,1,2.725699e+01,1.483603e-01,3.535552e-02,6.286101e-02,1.260993e-01,1.991354e+01,1.10e-04,8.983e-03,ok
mup,softplus,64,0,2,2.723596e+01,1.483603e-01,3.470810e-02,6.158387e-02,1.166891e-01,1.919873e+01,8.71e-05,9.598e-03,ok
mup,softplus,64,0,3,2.742014e+01,1.483603e-01,2.724577e-02,5.271985e-02,1.151013e-01,1.862901e+01,1.35e-04,8.326e-03,ok
mup,softplus,128,0,1,3.532494e+01,4.969635e-02,1.848858e-02,2.946361e-02,1.229649e-01,7.803067e+00,2.80e-04,3.466e-02,ok
mup,softplus,128,0,2,3.549744e+01,4.969635e-02,1.804332e-02,2.960882e-02,1.174057e-01,6.104868e+00,2.55e-04,2.650e-02,ok
mup,softplus,128,0,3,3.553476e+01,4.969635e-02,1.948179e-02,3.325661e-02,1.145959e-01,1.093042e+01,2.79e-04,2.769e-02,ok
mup,softplus,256,0,1,4.705753e+01,4.023687e-02,9.323575e-03,1.618609e-02,9.022542e-02,2.659611e+00,7.03e-05,6.317e-02,ok
mup,softplus,256,0,2,4.746436e+01,4.023687e-02,1.048561e-02,1.635009e-02,8.228514e-02,2.649249e+00,1.26e-04,6.711e-02,ok
mup,softplus,256,0,3,4.724083e+01,4.023687e-02,1.025701e-02,1.653296e-02,8.212672e-02,2.925638e+00,5.96e-05,3.838e-02,ok
mup,softplus,512,0,1,6.459724e+01,2.468990e-02,6.133130e-03,1.231857e-02,8.169426e-02,1.783470e+00,1.40e-04,9.915e-02,ok
mup,softplus,512,0,2,6.427230e+01,2.468990e-02,6.370524e-03,1.346983e-02,8.627736e-02,2.462824e+00,1.93e-04,8.727e-02,ok
mup,softplus,512,0,3,6.431501e+01,2.468990e-02,7.067260e-03,1.435839e-02,9.586314e-02,1.521246e+00,6.50e-05,6.259e-02,ok
mup,softplus,1024,0,1,8.860406e+01,1.924829e-02,4.269733e-03,9.476853e-03,6.657184e-02,1.363148e+00,1.04e-04,2.377e-01,ok
mup,softplus,1024,0,2,8.887380e+01,1.924829e-02,4.100249e-03,1.024190e-02,7.634751e-02,1.177515e+00,9.60e-05,1.964e-01,ok
mup,softplus,1024,0,3,8.863583e+01,1.924829e-02,4.448412e-03,1.215572e-02,9.166335e-02,2.430255e+00,1.23e-04,1.857e-01,ok
mup,softplus,2048,0,1,1.240501e+02,2.824325e-02,2.279185e-03,5.935916e-03,4.097145e-02,4.861157e-01,1.00e-05,2.744e-01,ok
mup,softplus,2048,0,2,1.245531e+02,2.824325e-02,2.175581e-03,5.860976e-03,4.343397e-02,1.326658e+00,8.88e-06,2.419e-01,ok
mup,softplus,2048,0,3,1.238623e+02,2.824325e-02,2.107735e-03,5.855415e-03,4.707353e-02,8.049094e-01,9.25e-07,5.003e-01,ok
mup,softplus,4096,0,1,1.751196e+02,2.379224e-02,1.452249e-03,6.805522e-03,6.036282e-02,6.344328e-01,1.05e-05,4.537e-01,ok
mup,softplus,4096,0,2,1.751458e+02,2.379224e-02,1.394579e-03,6.277340e-03,5.301681e-02,6.119031e-01,6.36e-06,3.786e-01,ok
mup,softplus,4096,0,3,1.756721e+02,2.379224e-02,1.497195e-03,5.568987e-03,4.451683e-02,5.799368e-01,1.09e-05,3.700e-01,ok
