mode,regime,act,width,seedA,seedB,dnorm,L_A,L_B,B,t_star,L_max,rho_A,rho_mid,rho_max,rho_at_tstar,acc_mid,flen_A,flen_mid,flen_B,flen_at_tstar,rq_mid,R_end,R_mid,R_tstar,devrel_lam1e-1,devrel_lam1e-2,devrel_lam1e-3,cg_resid,fd_instab,wmoveA,status
mlp,ntk,gelu,1024,2,4,1.837563e+03,2.931973e-01,2.933283e-01,8.363011e-01,0.5000,1.129564e+00,1.952599e-01,6.998236e-01,7.000246e-01,6.998236e-01,0.6893,,,,,,,,,,,,,,0.03716714680194855,ok
mlp,ntk,gelu,1024,3,4,1.837875e+03,2.913122e-01,2.933283e-01,7.565878e-01,0.5000,1.048908e+00,1.950567e-01,6.572855e-01,6.572855e-01,6.572855e-01,0.8068,,,,,,,,,,,,,,0.03769025206565857,ok
mlp,ntk,gelu,2048,0,1,3.273861e+03,3.016152e-01,3.001092e-01,9.784017e-01,0.5000,1.279264e+00,2.049628e-01,7.461488e-01,7.461488e-01,7.461488e-01,0.6024,,,,,,,,,,,,,,0.022217269986867905,ok
mlp,ntk,gelu,2048,0,2,3.277431e+03,3.016152e-01,3.010132e-01,9.895475e-01,0.5000,1.290862e+00,2.049628e-01,7.485837e-01,7.485837e-01,7.485837e-01,0.6130,,,,,,,,,,,,,,0.022217269986867905,ok
mlp,ntk,gelu,2048,0,3,3.276538e+03,3.016152e-01,3.046726e-01,8.751189e-01,0.5000,1.178263e+00,2.049628e-01,7.133006e-01,7.133006e-01,7.133006e-01,0.7777,,,,,,,,,,,,,,0.022217269986867905,ok
mlp,ntk,gelu,2048,0,4,3.275069e+03,3.016152e-01,3.059484e-01,9.256448e-01,0.5000,1.229427e+00,2.049628e-01,7.264970e-01,7.264970e-01,7.264970e-01,0.7215,,,,,,,,,,,,,,0.022217269986867905,ok
mlp,ntk,gelu,2048,1,2,3.277150e+03,3.001092e-01,3.010132e-01,9.101879e-01,0.5000,1.210749e+00,2.042735e-01,7.222166e-01,7.222166e-01,7.222166e-01,0.7644,,,,,,,,,,,,,,0.022018564864993095,ok
mlp,ntk,gelu,2048,1,3,3.274938e+03,3.001092e-01,3.046726e-01,9.808998e-01,0.5000,1.283291e+00,2.042735e-01,7.522654e-01,7.522654e-01,7.522654e-01,0.6253,,,,,,,,,,,,,,0.022018564864993095,ok
mlp,ntk,gelu,2048,1,4,3.274267e+03,3.001092e-01,3.059484e-01,9.125687e-01,0.5000,1.215597e+00,2.042735e-01,7.207865e-01,7.207865e-01,7.207865e-01,0.7639,,,,,,,,,,,,,,0.022018564864993095,ok
mlp,ntk,gelu,2048,2,3,3.275503e+03,3.010132e-01,3.046726e-01,9.868033e-01,0.5000,1.289646e+00,2.040348e-01,7.521886e-01,7.521886e-01,7.521886e-01,0.6282,,,,,,,,,,,,,,0.02253178507089615,ok
mlp,ntk,gelu,2048,2,4,3.274369e+03,3.010132e-01,3.059484e-01,9.649013e-01,0.5000,1.268382e+00,2.040348e-01,7.356344e-01,7.356344e-01,7.356344e-01,0.7652,,,,,,,,,,,,,,0.02253178507089615,ok
mlp,ntk,gelu,2048,3,4,3.275880e+03,3.046726e-01,3.059484e-01,9.963331e-01,0.5000,1.301644e+00,2.067222e-01,7.472600e-01,7.472600e-01,7.472600e-01,0.6044,,,,,,,,,,,,,,0.022056590765714645,ok
mlp,ntk,gelu,4096,0,1,6.125076e+03,3.128912e-01,3.134619e-01,1.073272e+00,0.5000,1.386449e+00,2.155928e-01,7.793284e-01,7.793284e-01,7.793284e-01,0.6251,,,,,,,,,,,,,,0.01237586047500372,ok
mlp,ntk,gelu,4096,0,2,6.130929e+03,3.128912e-01,3.169415e-01,1.060695e+00,0.5000,1.375612e+00,2.155928e-01,7.768042e-01,7.768042e-01,7.768042e-01,0.7085,,,,,,,,,,,,,,0.01237586047500372,ok
mlp,ntk,gelu,4096,0,3,6.128917e+03,3.128912e-01,3.149634e-01,1.088409e+00,0.5000,1.402336e+00,2.155928e-01,7.859182e-01,7.859182e-01,7.859182e-01,0.5927,,,,,,,,,,,,,,0.01237586047500372,ok
mlp,ntk,gelu,4096,0,4,6.129647e+03,3.128912e-01,3.135380e-01,1.098997e+00,0.5000,1.412212e+00,2.155928e-01,7.874646e-01,7.874646e-01,7.874646e-01,0.5651,,,,,,,,,,,,,,0.01237586047500372,ok
mlp,ntk,gelu,4096,1,2,6.131066e+03,3.134619e-01,3.169415e-01,1.039383e+00,0.5000,1.354585e+00,2.160122e-01,7.660781e-01,7.660781e-01,7.660781e-01,0.6013,,,,,,,,,,,,,,0.012300202623009682,ok
mlp,ntk,gelu,4096,1,3,6.126956e+03,3.134619e-01,3.149634e-01,1.092894e+00,0.5000,1.407107e+00,2.160122e-01,7.822009e-01,7.822009e-01,7.822009e-01,0.5876,,,,,,,,,,,,,,0.012300202623009682,ok
mlp,ntk,gelu,4096,1,4,6.126792e+03,3.134619e-01,3.135380e-01,1.119692e+00,0.5000,1.433192e+00,2.160122e-01,8.007898e-01,8.007898e-01,8.007898e-01,0.4469,,,,,,,,,,,,,,0.012300202623009682,ok
mlp,ntk,gelu,4096,2,3,6.127249e+03,3.169415e-01,3.149634e-01,1.136243e+00,0.5000,1.452195e+00,2.171701e-01,7.986681e-01,7.986681e-01,7.986681e-01,0.4964,,,,,,,,,,,,,,0.012350698001682758,ok
mlp,ntk,gelu,4096,2,4,6.128140e+03,3.169415e-01,3.135380e-01,1.071917e+00,0.5000,1.387156e+00,2.171701e-01,7.803669e-01,7.803669e-01,7.803669e-01,0.5932,,,,,,,,,,,,,,0.012350698001682758,ok
mlp,ntk,gelu,4096,3,4,6.129305e+03,3.149634e-01,3.135380e-01,1.118166e+00,0.5000,1.432417e+00,2.171726e-01,7.905866e-01,7.905866e-01,7.905866e-01,0.5209,,,,,,,,,,,,,,0.012477747164666653,ok
mlp,ntk,tanh,64,0,1,3.212673e+02,2.684634e-01,2.657637e-01,1.740022e-01,0.5000,4.411157e-01,1.764106e-01,3.290481e-01,3.290481e-01,3.290481e-01,0.8929,,,,,,,,,,,,,,0.21556246280670166,ok
