regime,act,width,seedA,seedB,dnorm,lam_max,devrel_1e-1,devrel_1e-2,devrel_1e-3,rhs_1e-2,cg_resid,fd_instab,status
sp,swish,1024,0,1,6.483925e+01,5.636922e-02,9.503102e-03,2.212365e-02,1.429172e-01,1.115080e+01,9.97e-04,1.019e-01,ok
sp,swish,1024,0,2,6.480831e+01,5.636922e-02,9.384639e-03,2.097929e-02,1.341478e-01,1.455801e+01,1.19e-03,9.023e-02,ok
sp,swish,1024,0,3,6.483652e+01,5.636922e-02,1.070586e-02,2.342160e-02,1.433240e-01,2.298957e+01,1.45e-03,1.137e-01,ok
sp,swish,2048,0,1,8.967480e+01,5.010666e-02,1.411990e-02,3.806969e-02,2.758637e-01,7.101651e+01,5.87e-03,1.166e-01,ok
sp,swish,2048,0,2,8.967191e+01,5.010666e-02,1.310056e-02,3.503037e-02,2.580803e-01,4.474688e+01,3.19e-03,8.056e-02,ok
sp,swish,2048,0,3,8.969666e+01,5.010666e-02,1.055493e-02,2.966558e-02,2.089993e-01,3.465541e+01,5.04e-03,1.175e-01,ok
sp,swish,4096,0,1,1.250764e+02,5.632779e-02,2.314051e-02,1.072480e-01,1.003280e+00,1.650226e+02,1.16e-02,8.695e-02,ok
sp,swish,4096,0,2,1.250997e+02,5.632779e-02,2.590135e-02,1.270446e-01,1.200576e+00,1.896520e+02,6.72e-03,9.317e-02,ok
sp,swish,4096,0,3,1.250758e+02,5.632779e-02,2.588406e-02,1.184218e-01,1.114596e+00,1.829561e+02,1.03e-02,7.809e-02,ok
sp,softplus,64,0,1,2.715151e+01,1.907105e-01,4.174551e-02,8.045121e-02,1.513312e-01,4.413791e+01,1.40e-04,8.123e-03,ok
sp,softplus,64,0,2,2.670784e+01,1.907105e-01,3.562076e-02,6.818851e-02,1.230703e-01,2.631106e+01,9.46e-05,6.831e-03,ok
sp,softplus,64,0,3,2.713169e+01,1.907105e-01,3.434768e-02,6.358015e-02,1.152281e-01,3.772021e+01,4.85e-05,7.742e-03,ok
sp,softplus,128,0,1,3.056584e+01,1.252920e-01,1.747774e-02,2.809120e-02,7.453226e-02,9.432272e+00,1.24e-04,1.748e-02,ok
sp,softplus,128,0,2,3.067446e+01,1.252920e-01,1.802468e-02,3.141153e-02,7.663033e-02,1.084328e+01,1.13e-04,1.312e-02,ok
sp,softplus,128,0,3,3.047338e+01,1.252920e-01,1.517436e-02,2.547783e-02,6.920762e-02,9.298622e+00,7.93e-05,9.585e-03,ok
sp,softplus,256,0,1,3.744842e+01,1.095946e-01,1.143373e-02,1.740998e-02,5.769340e-02,7.081569e+00,5.79e-05,2.987e-02,ok
sp,softplus,256,0,2,3.729488e+01,1.095946e-01,1.243852e-02,2.035347e-02,7.137818e-02,1.144454e+01,8.77e-05,1.707e-02,ok
sp,softplus,256,0,3,3.738449e+01,1.095946e-01,1.202104e-02,2.006487e-02,7.090619e-02,9.344968e+00,1.48e-04,2.735e-02,ok
sp,softplus,512,0,1,4.901733e+01,1.515335e-01,8.315746e-03,1.356692e-02,4.452345e-02,5.412579e+00,3.57e-05,2.551e-02,ok
sp,softplus,512,0,2,4.887162e+01,1.515335e-01,8.034367e-03,1.229953e-02,4.407971e-02,6.006878e+00,4.48e-05,2.882e-02,ok
sp,softplus,512,0,3,4.891769e+01,1.515335e-01,8.021578e-03,1.295365e-02,4.214113e-02,7.681985e+00,4.44e-05,3.542e-02,ok
sp,softplus,1024,0,1,6.617204e+01,2.143972e-01,7.002093e-03,1.251179e-02,4.127145e-02,2.045322e+01,5.20e-05,4.183e-02,ok
sp,softplus,1024,0,2,6.623662e+01,2.143972e-01,5.929300e-03,9.896487e-03,3.211351e-02,8.181385e+00,8.64e-06,4.554e-02,ok
sp,softplus,1024,0,3,6.619998e+01,2.143972e-01,5.999384e-03,1.071073e-02,3.274544e-02,1.378433e+01,2.50e-05,4.062e-02,ok
sp,softplus,2048,0,1,9.133803e+01,2.701670e-01,6.836877e-03,1.424508e-02,4.290341e-02,4.218377e+01,5.60e-05,3.937e-02,ok
sp,softplus,2048,0,2,9.125649e+01,2.701670e-01,6.192514e-03,1.231325e-02,3.611294e-02,2.706962e+01,5.99e-05,4.942e-02,ok
sp,softplus,2048,0,3,9.129340e+01,2.701670e-01,8.069488e-03,1.758691e-02,4.914077e-02,6.347721e+01,1.57e-04,6.432e-02,ok
sp,softplus,4096,0,1,1.269109e+02,2.428893e-01,1.457527e-02,3.572410e-02,1.979541e-01,2.269675e+02,1.40e-03,6.169e-02,ok
sp,softplus,4096,0,2,1.269068e+02,2.428893e-01,1.091066e-02,2.607606e-02,1.297435e-01,1.525850e+02,7.56e-04,5.064e-02,ok
sp,softplus,4096,0,3,1.268636e+02,2.428893e-01,1.291134e-02,3.145754e-02,1.835221e-01,2.273754e+02,8.99e-04,5.155e-02,ok
