mode,regime,act,width,n_pairs,rq_t0.000,rq_t0.050,rq_t0.100,rq_t0.150,rq_t0.200,rq_t0.250,rq_t0.300,rq_t0.350,rq_t0.400,rq_t0.450,rq_t0.500,rq_t0.550,rq_t0.600,rq_t0.650,rq_t0.700,rq_t0.750,rq_t0.800,rq_t0.850,rq_t0.900,rq_t0.950,rq_t1.000
mlp,ntk,tanh,2048,10,3.4731830000000004e-07,4.8733595e-07,6.6002275e-07,8.376933500000001e-07,9.6671405e-07,9.755558e-07,8.3094955e-07,5.729422e-07,3.0299415e-07,9.732509500000001e-08,2.2209565000000002e-08,9.79157e-08,3.0143370000000005e-07,5.750374e-07,8.2771075e-07,9.771439999999999e-07,9.5795225e-07,8.2792755e-07,6.5917325e-07,4.923176e-07,3.5204e-07
mlp,ntk,tanh,4096,10,1.0718965e-07,1.514848e-07,2.067557e-07,2.644591e-07,3.064562e-07,3.095338e-07,2.637684e-07,1.8358375e-07,9.496308499999999e-08,3.00897e-08,5.8472475e-09,2.8587534999999998e-08,9.2624205e-08,1.791779e-07,2.5840945e-07,3.091861e-07,3.11255e-07,2.7479265e-07,2.162322e-07,1.5771755000000002e-07,1.105653e-07
mlp,sp,gelu,64,10,0.00011092495,0.00040115634999999996,0.0013116875,0.002447732,0.003069209,0.0033208505,0.0029969505,0.0026298845,0.001965751,0.0017069264999999998,0.001570333,0.0016165684999999998,0.002255607,0.0030770370000000003,0.0031676815,0.0033878295,0.0033071875000000002,0.002262962,0.0013253595,0.00042114824999999996,0.00012889150000000002
mlp,sp,gelu,128,10,3.0252915e-05,0.00010246828,0.0003504898,0.0006216534499999999,0.00100798545,0.0011742795,0.0010869949999999999,0.00085929955,0.0006545253,0.0004476713,0.00038789550000000003,0.0004249966,0.00063353775,0.00088805615,0.0010170309,0.001138483,0.001042253,0.0007190467499999999,0.0003483629,0.000108311855,3.528274e-05
mlp,sp,gelu,256,10,1.0747525e-05,2.783433e-05,7.7832925e-05,0.0001869525,0.00032442825,0.00040810325,0.00039002325,0.00030023035,0.00021397404999999998,0.0001222122,7.959252e-05,0.0001036758,0.0001866793,0.00030187365000000003,0.00039895589999999997,0.0004334689,0.00034968225,0.00021319105,8.8361955e-05,3.071906e-05,1.178608e-05
mlp,sp,gelu,512,10,6.448297e-06,1.590175e-05,4.2735635e-05,9.568255000000001e-05,0.00015420775,0.0001764426,0.00017899445000000002,0.0001520963,0.000100012425,4.8710660000000005e-05,2.5212495e-05,4.4741320000000006e-05,9.393573e-05,0.0001487386,0.00018706205,0.00018885535,0.0001448534,7.681807e-05,3.3739959999999996e-05,1.4568955e-05,6.279009999999999e-06
mlp,sp,gelu,1024,10,4.329304e-06,1.0493265000000001e-05,2.4680425e-05,5.1678775e-05,8.796859e-05,0.00011942969999999999,0.0001367933,0.0001227189,7.9053155e-05,3.3590155e-05,1.3607590000000001e-05,3.123736e-05,7.411131e-05,0.00011730964999999999,0.00013992385,0.00012406705000000002,8.586334499999999e-05,4.8449955e-05,2.334136e-05,1.0299955e-05,4.183308e-06
mlp,sp,gelu,2048,10,3.3950779999999997e-06,8.8127905e-06,2.2092940000000003e-05,5.009716e-05,9.7517675e-05,0.00015541025,0.00020845745,0.0002231482,0.0001690929,6.901335e-05,1.358679e-05,6.2816545e-05,0.0001602478,0.0002130565,0.0002108039,0.0001628949,0.00010831875,5.5756850000000005e-05,2.3628405e-05,9.2793435e-06,3.5541905e-06
mlp,sp,gelu,4096,10,2.661812e-06,8.056034e-06,2.2960850000000002e-05,6.0048125e-05,0.00012866815,0.000251176,0.00039432314999999997,0.0004324595,0.00031176844999999996,0.00010821745,1.2836010000000001e-05,0.00011946474999999999,0.00033164904999999996,0.00044280855,0.00038576949999999995,0.0002385535,0.00012560415,5.7350465e-05,2.1964895e-05,7.48475e-06,2.4607505e-06
mlp,sp,softplus,64,10,0.00017215075,0.0005686638,0.0014797955,0.0025029279999999998,0.002846968,0.002976551,0.0029266444999999997,0.0024601785,0.0014773455,0.001081736,0.0009131396000000001,0.001171133,0.0015977230000000001,0.0021901819999999997,0.0028488044999999997,0.0028292635,0.0028486444999999997,0.002739792,0.0015703575,0.0005195261,0.00016324230000000001
