mode,regime,act,width,seedA,seedB,dnorm,rq_t0.000,rq_t0.050,rq_t0.100,rq_t0.150,rq_t0.200,rq_t0.250,rq_t0.300,rq_t0.350,rq_t0.400,rq_t0.450,rq_t0.500,rq_t0.550,rq_t0.600,rq_t0.650,rq_t0.700,rq_t0.750,rq_t0.800,rq_t0.850,rq_t0.900,rq_t0.950,rq_t1.000,rq_min,rq_max,t_argmin,accA,accB,status
mlp,ntk,tanh,128,0,2,4.653697e+02,7.441084e-06,9.067654e-06,1.079692e-05,1.228959e-05,1.304823e-05,1.259354e-05,1.075418e-05,7.878173e-06,4.792667e-06,2.513145e-06,1.840262e-06,3.021370e-06,5.623235e-06,8.693099e-06,1.117262e-05,1.236732e-05,1.218459e-05,1.100587e-05,9.359413e-06,7.663837e-06,6.152336e-06,1.840262e-06,1.304823e-05,0.5000,0.9177,0.9171,ok
mlp,ntk,tanh,128,0,3,4.661056e+02,6.615653e-06,7.935320e-06,9.297934e-06,1.046292e-05,1.108716e-05,1.081269e-05,9.438729e-06,7.125602e-06,4.490370e-06,2.441549e-06,1.777480e-06,2.773391e-06,5.020308e-06,7.635004e-06,9.711592e-06,1.071762e-05,1.061655e-05,9.720627e-06,8.440897e-06,7.104744e-06,5.898356e-06,1.777480e-06,1.108716e-05,0.5000,0.9177,0.9148,ok
mlp,ntk,tanh,128,0,4,4.659658e+02,7.091936e-06,8.721571e-06,1.062711e-05,1.254460e-05,1.398180e-05,1.430821e-05,1.303602e-05,1.019586e-05,6.549970e-06,3.388927e-06,1.962317e-06,2.884428e-06,5.819822e-06,9.612280e-06,1.285188e-05,1.457580e-05,1.461281e-05,1.339703e-05,1.155321e-05,9.592718e-06,7.816939e-06,1.962317e-06,1.461281e-05,0.5000,0.9177,0.918,ok
mlp,ntk,tanh,128,1,2,4.652819e+02,5.744721e-06,7.026206e-06,8.448753e-06,9.815172e-06,1.079470e-05,1.097784e-05,1.004895e-05,8.029206e-06,5.423879e-06,3.115915e-06,2.008697e-06,2.580839e-06,4.615117e-06,7.306323e-06,9.685674e-06,1.107310e-05,1.128772e-05,1.055836e-05,9.287309e-06,7.848036e-06,6.490454e-06,2.008697e-06,1.128772e-05,0.5000,0.9175,0.9171,ok
mlp,ntk,tanh,128,1,3,4.661237e+02,8.828813e-06,1.157788e-05,1.487043e-05,1.830198e-05,2.102122e-05,2.185572e-05,1.988202e-05,1.521467e-05,9.304768e-06,4.343537e-06,2.227388e-06,3.777715e-06,8.453278e-06,1.451434e-05,1.970664e-05,2.232681e-05,2.199493e-05,1.953269e-05,1.615481e-05,1.279290e-05,9.932567e-06,2.227388e-06,2.232681e-05,0.5000,0.9175,0.9148,ok
mlp,ntk,tanh,128,1,4,4.655856e+02,7.995176e-06,1.007765e-05,1.247647e-05,1.479560e-05,1.635118e-05,1.637036e-05,1.441829e-05,1.080067e-05,6.608495e-06,3.307843e-06,2.102789e-06,3.419294e-06,6.741660e-06,1.085238e-05,1.435903e-05,1.625693e-05,1.626801e-05,1.479988e-05,1.258047e-05,1.025739e-05,8.212204e-06,2.102789e-06,1.637036e-05,0.5000,0.9175,0.918,ok
mlp,ntk,tanh,128,2,3,4.666906e+02,8.693831e-06,1.113267e-05,1.387617e-05,1.649345e-05,1.828255e-05,1.843707e-05,1.641778e-05,1.240788e-05,7.560244e-06,3.671713e-06,2.324689e-06,4.065609e-06,8.136990e-06,1.288795e-05,1.661456e-05,1.832114e-05,1.795897e-05,1.613519e-05,1.363986e-05,1.109883e-05,8.859965e-06,2.324689e-06,1.843707e-05,0.5000,0.9171,0.9148,ok
mlp,ntk,tanh,128,2,4,4.662152e+02,7.195889e-06,8.990702e-06,1.101028e-05,1.298048e-05,1.442045e-05,1.471373e-05,1.336169e-05,1.037197e-05,6.541510e-06,3.299614e-06,2.024174e-06,3.250321e-06,6.375771e-06,1.006278e-05,1.298725e-05,1.440815e-05,1.428272e-05,1.302657e-05,1.118903e-05,9.231036e-06,7.441924e-06,2.024174e-06,1.471373e-05,0.5000,0.9171,0.918,ok
mlp,ntk,tanh,128,3,4,4.663681e+02,7.594460e-06,9.214680e-06,1.097908e-05,1.263446e-05,1.376888e-05,1.387894e-05,1.256747e-05,9.842129e-06,6.363443e-06,3.367536e-06,2.126151e-06,3.249815e-06,6.316807e-06,1.007201e-05,1.309376e-05,1.450452e-05,1.424712e-05,1.282648e-05,1.087068e-05,8.865106e-06,7.090569e-06,2.126151e-06,1.450452e-05,0.5000,0.9148,0.918,ok
mlp,ntk,tanh,256,0,1,6.979431e+02,4.628144e-06,6.094440e-06,7.836867e-06,9.591226e-06,1.083537e-05,1.092901e-05,9.502495e-06,6.823421e-06,3.779162e-06,1.479577e-06,7.726623e-07,1.912127e-06,4.460246e-06,7.442045e-06,9.754509e-06,1.068976e-05,1.022358e-05,8.845167e-06,7.145599e-06,5.536633e-06,4.204478e-06,7.726623e-07,1.092901e-05,0.5000,0.9155,0.9162,ok
mlp,ntk,tanh,256,0,2,6.975750e+02,4.534499e-06,5.961681e-06,7.622356e-06,9.263293e-06,1.041759e-05,1.053588e-05,9.295546e-06,6.887590e-06,4.033762e-06,1.708810e-06,7.463644e-07,1.513781e-06,3.758190e-06,6.680360e-06,9.256720e-06,1.068772e-05,1.071705e-05,9.634460e-06,7.999238e-06,6.309841e-06,4.843779e-06,7.463644e-07,1.071705e-05,0.5000,0.9155,0.9155,ok
mlp,ntk,tanh,256,0,3,6.977731e+02,4.180897e-06,5.332567e-06,6.587015e-06,7.700817e-06,8.317254e-06,8.097757e-06,6.917047e-06,4.992050e-06,2.861664e-06,1.217008e-06,6.399990e-07,1.362097e-06,3.149520e-06,5.372197e-06,7.257611e-06,8.234664e-06,8.165001e-06,7.303114e-06,6.058982e-06,4.778522e-06,3.658647e-06,6.399990e-07,8.317254e-06,0.5000,0.9155,0.9154,ok
mlp,ntk,tanh,256,0,4,6.973883e+02,4.542753e-06,5.948351e-06,7.543735e-06,9.072483e-06,1.011000e-05,1.017716e-05,8.968470e-06,6.612267e-06,3.785848e-06,1.506523e-06,6.695578e-07,1.625733e-06,4.011083e-06,6.886109e-06,9.169986e-06,1.017430e-05,9.860050e-06,8.660619e-06,7.112840e-06,5.604496e-06,4.323162e-06,6.695578e-07,1.017716e-05,0.5000,0.9155,0.9192,ok
mlp,ntk,tanh,256,1,2,6.978854e+02,4.073404e-06,5.385073e-06,6.920553e-06,8.428254e-06,9.437197e-06,9.412908e-06,8.114165e-06,5.843224e-06,3.329660e-06,1.398105e-06,6.721314e-07,1.390174e-06,3.334177e-06,5.878630e-06,8.167974e-06,9.437191e-06,9.393470e-06,8.333292e-06,6.828386e-06,5.340738e-06,4.093089e-06,6.721314e-07,9.437197e-06,0.5000,0.9162,0.9155,ok
